4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
Non-European Union,Congo,Postgraduate (research),Full-time,2014/15,Scotland,0
Non-European Union,Congo,Postgraduate (research),All,2014/15,Scotland,0
Non-European Union,Congo,Postgraduate (taught),Full-time,2014/15,Scotland,0
Non-European Union,Congo,Postgraduate (taught),All,2014/15,Scotland,0
Non-European Union,Congo,All postgraduate,Full-time,2014/15,Scotland,0
Non-European Union,Congo,All postgraduate,All,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),Full-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),Part-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),All,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),Full-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),Part-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),All,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,Full-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,Part-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,All,2014/15,Scotland,0
Non-European Union,Ghana,Postgraduate (research),Full-time,2014/15,Scotland,35
Non-European Union,Ghana,Postgraduate (research),Part-time,2014/15,Scotland,5
Non-European Union,Ghana,Postgraduate (research),All,2014/15,Scotland,40
Non-European Union,Ghana,Postgraduate (taught),Full-time,2014/15,Scotland,150
Non-European Union,Ghana,Postgraduate (taught),Part-time,2014/15,Scotland,15
Non-European Union,Ghana,Postgraduate (taught),All,2014/15,Scotland,170
Non-European Union,Ghana,All postgraduate,Full-time,2014/15,Scotland,185
Non-European Union,Ghana,All postgraduate,Part-time,2014/15,Scotland,20
Non-European Union,Ghana,All postgraduate,All,2014/15,Scotland,205
Non-European Union,Nigeria,Postgraduate (research),Full-time,2014/15,Scotland,325
