"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","HE.Provider.Term.1","HE.Provider.Term.2","Enrollment","FX_Rate","Growth.Indicator","Value","Tuition_Av"
"2014","China","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",60,10.15,"GDP ",7.425763656,13000
"2014","China","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",60,10.15,"Inflation ",1.031063688,13000
"2014","China","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,13000
"2014","China","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,13000
"2014","China","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",4500,10.15,"GDP ",7.425763656,14000
"2014","China","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",4500,10.15,"Inflation ",1.031063688,14000
"2014","China","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"GDP ",7.425763656,14000
"2014","China","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"Inflation ",1.031063688,14000
"2014","China","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",2400,10.15,"GDP ",7.425763656,14500
"2014","China","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",2400,10.15,"Inflation ",1.031063688,14500
"2014","China","Glasgow Caledonian University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"GDP ",7.425763656,14500
"2014","China","Glasgow Caledonian University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"Inflation ",1.031063688,14500
"2014","China","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",720,10.15,"GDP ",7.425763656,17500
"2014","China","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",720,10.15,"Inflation ",1.031063688,17500
"2014","China","Glasgow School of Art","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,17500
"2014","China","Glasgow School of Art","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,17500
"2014","China","Heriot-Watt University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",6780,10.15,"GDP ",7.425763656,17250
