Country,Growth Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ghana,GDP ,2.856240163,2.120759338,3.37346575,8.128894881,6.200077681,6.507774794,0.513941671,5.076466435,3.817504621
Gambia,GDP ,-1.407382495,4.058073804,1.943359655,4.822611249,7.234890333,6.22205316,0.591487288,5.255968794,4.917821309
Kenya,GDP ,5.020111002,4.967721128,4.213517068,3.837958174,5.647946407,5.114158858,-0.272766327,7.590489473,4.846634856
Libya,GDP ,-23.04280583,-0.842656252,-1.490941117,32.49180219,7.941367853,-5.994783943,-58.31823042,153.4926407,1.336148097
Nigeria,GDP ,6.309718655,2.652693295,-1.616868949,0.805886619,1.922757342,2.208429277,-1.794253083,3.647186541,3.251681408
Tanzania,GDP ,6.732461868,6.160628774,6.867116196,6.762277168,5.468081815,5.8,1.991964606,4.321384295,4.566005764
Uganda,GDP ,5.106307325,5.18785986,4.781000293,3.131405517,6.303923783,6.438745033,2.951306422,3.536580341,4.588021922
China,GDP ,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356,8.448469417,2.989084086
India,GDP ,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,6.987039326
Japan,GDP ,0.296205514,1.560626697,0.753826746,1.675331752,0.643391023,-0.402169201,-4.147118899,2.559320239,0.954736938
Thailand,GDP ,0.984468864,3.134047249,3.435157717,4.177681032,4.222870287,2.114557796,-6.050038469,1.568181765,2.462769341
Pakistan,GDP ,4.116428172,4.217942096,6.573838285,4.432625907,6.151702611,2.497636929,-1.274087443,6.513885759,4.767539531
Kuwait,GDP ,0.500917356,0.592771759,2.926076261,-4.712223765,2.433978939,1.38146368,-5.274020605,1.69762483,6.138252785
Oman,GDP ,1.292252294,5.017057997,5.046423946,0.304057566,1.287103915,-1.128711062,-3.3797144,3.092276687,4.311253509
Turkey,GDP ,4.939715161,6.084486904,3.323084208,7.501997489,3.013179908,0.818525936,1.85983969,11.43938474,5.533469266
Ghana,Inflation ,23.93995876,13.25296668,15.74862031,10.67730823,10.5684825,8.481070297,9.365574966,12.10610163,28.16824787
Gambia,Inflation ,5.211723107,9.720362427,7.820622749,3.92171862,6.951764038,6.252206399,2.188758959,7.382122878,8.642277522
Kenya,Inflation ,7.635031901,9.238654684,5.849628946,7.581934028,4.215028415,4.275234239,4.948852833,4.330747559,6.008764133
Libya,Inflation ,-1.006604017,-7.040707272,4.692314318,1.806663822,3.597573893,2.429513259,117.1328573,-6.705127657,23.15996223
Nigeria,Inflation ,4.662622917,2.863665123,9.543670064,11.11891808,10.22848509,10.3847792,7.849142047,10.13103369,11.31133494
Turkey,Inflation ,7.389518638,7.84491693,8.130478078,10.98242167,16.51227946,13.86773525,14.78937574,28.97301641,96.03611496
Tanzania,Inflation ,6.050845889,7.591364023,7.472033668,2.638123933,3.041362239,2.28040893,6.42301399,2.674303274,2.762614833
Uganda,Inflation ,5.106307324,5.187859865,4.781000291,4.64905082,4.443385272,3.000011816,2.721484441,2.545119296,4.922286731
China,Inflation ,1.031063688,-0.002944094,1.407346027,4.232681975,3.499747636,1.286700408,0.492493918,4.552326579,1.785701642
India,Inflation ,3.331756917,2.279588108,3.237974951,3.969257933,3.884240272,2.405517161,4.814857919,8.354907715,6.747513083
Japan,Inflation ,1.686294786,2.111298993,0.419944376,-0.074349504,-0.000237506,0.634803166,0.941449701,-0.190060625,0.333979877
Pakistan,Inflation ,7.209765439,4.441980334,0.922163326,4.029745993,3.841786633,9.036334842,9.944498211,10.26734208,13.91739802
Thailand,Inflation ,1.441465365,0.722113573,2.63616762,1.89994499,1.428586164,1.014423406,-1.298775057,1.771072263,4.766995787
Kuwait,Inflation ,-6.757964915,-25.95833147,-6.83784351,16.2308765,11.27797143,-0.4676608,-17.46057958,27.72505306,23.33973683
Oman,Inflation ,1.757299549,-19.14647252,-9.136275276,7.297943298,11.73229461,-2.666161645,-10.78367813,12.69571522,24.64635128
