Univeristy Name,Region,Ist Semester,2nd Semester,3rd Semester,Academic Year
The University of Aberdeen,Scotland,Sep-14,Jan-15,,2014/2015
The University of Aberdeen,Scotland,Sep-15,Jan-16,,2015/2016
The University of Aberdeen,Scotland,Sep-16,Jan-17,,2016/2017
The University of Aberdeen,Scotland,Sep-17,Jan-18,,2017/2018
The University of Aberdeen,Scotland,Sep-18,Jan-19,,2018/2019
The University of Aberdeen,Scotland,Sep-19,Jan-20,,2019/2020
The University of Aberdeen,Scotland,Sep-20,Jan-21,,2020/2021
The University of Aberdeen,Scotland,Sep-21,Jan-22,,2021/2022
The University of Aberdeen,Scotland,Sep-22,Jan-23,,2022/2023
The University of Aberdeen,Scotland,Sep-23,Jan-24,,2023/2024
Abertay University,Scotland,Sep-14,Jan-15,,2014/2015
Abertay University,Scotland,Sep-15,Jan-16,,2015/2016
Abertay University,Scotland,Sep-16,Jan-17,,2016/2017
Abertay University,Scotland,Sep-17,Jan-18,,2017/2018
Abertay University,Scotland,Sep-18,Jan-19,,2018/2019
Abertay University,Scotland,Sep-19,Jan-20,,2019/2020
Abertay University,Scotland,Sep-20,Jan-21,,2020/2021
Abertay University,Scotland,Sep-21,Jan-22,May-22,2021/2022
Abertay University,Scotland,Sep-22,Jan-23,May-23,2022/2023
Abertay University,Scotland,Sep-23,Jan-24,May-24,2023/2024
The University of Dundee,Scotland,Sep-14,Jan-15,,2014/2015
The University of Dundee,Scotland,Sep-15,Jan-16,,2015/2016
The University of Dundee,Scotland,Sep-16,Jan-17,,2016/2017
The University of Dundee,Scotland,Sep-17,Jan-18,,2017/2018
The University of Dundee,Scotland,Sep-18,Jan-19,,2018/2019
The University of Dundee,Scotland,Sep-19,Jan-20,,2019/2020
The University of Dundee,Scotland,Sep-20,Jan-21,,2020/2021
The University of Dundee,Scotland,Sep-21,Jan-22,,2021/2022
The University of Dundee,Scotland,Sep-22,Jan-23,,2022/2023
The University of Dundee,Scotland,Sep-23,Jan-24,,2023/2024
The University of Edinburgh,Scotland,Sep-14,Jan-15,,2014/2015
The University of Edinburgh,Scotland,Sep-15,Jan-16,,2015/2016
The University of Edinburgh,Scotland,Sep-16,Jan-17,,2016/2017
The University of Edinburgh,Scotland,Sep-17,Jan-18,,2017/2018
The University of Edinburgh,Scotland,Sep-18,Jan-19,,2018/2019
The University of Edinburgh,Scotland,Sep-19,Jan-20,,2019/2020
The University of Edinburgh,Scotland,Sep-20,Jan-21,,2020/2021
The University of Edinburgh,Scotland,Sep-21,Jan-22,,2021/2022
The University of Edinburgh,Scotland,Sep-22,Jan-23,,2022/2023
The University of Edinburgh,Scotland,Sep-23,Jan-24,,2023/2024
Edinburgh Napier University,Scotland,Sep-14,Jan-15,,2014/2015
Edinburgh Napier University,Scotland,Sep-15,Jan-16,,2015/2016
Edinburgh Napier University,Scotland,Sep-16,Jan-17,,2016/2017
Edinburgh Napier University,Scotland,Sep-17,Jan-18,,2017/2018
Edinburgh Napier University,Scotland,Sep-18,Jan-19,,2018/2019
Edinburgh Napier University,Scotland,Sep-19,Jan-20,,2019/2020
Edinburgh Napier University,Scotland,Sep-20,Jan-21,,2020/2021
Edinburgh Napier University,Scotland,Sep-21,Jan-22,,2021/2022
Edinburgh Napier University,Scotland,Sep-22,Jan-23,,2022/2023
Edinburgh Napier University,Scotland,Sep-23,Jan-24,May-24,2023/2024
Glasgow Caledonian University,Scotland,Sep-14,Jan-15,,2014/2015
Glasgow Caledonian University,Scotland,Sep-15,Jan-16,,2015/2016
Glasgow Caledonian University,Scotland,Sep-16,Jan-17,,2016/2017
Glasgow Caledonian University,Scotland,Sep-17,Jan-18,,2017/2018
Glasgow Caledonian University,Scotland,Sep-18,Jan-19,,2018/2019
Glasgow Caledonian University,Scotland,Sep-19,Jan-20,,2019/2020
Glasgow Caledonian University,Scotland,Sep-20,Jan-21,,2020/2021
Glasgow Caledonian University,Scotland,Sep-21,Jan-22,,2021/2022
Glasgow Caledonian University,Scotland,Sep-22,Jan-23,May-23,2022/2023
Glasgow Caledonian University,Scotland,Sep-23,Jan-24,May-24,2023/2024
Glasgow School of Art,Scotland,Sep-14,Jan-15,,2014/2015
Glasgow School of Art,Scotland,Sep-15,Jan-16,,2015/2016
Glasgow School of Art,Scotland,Sep-16,Jan-17,,2016/2017
Glasgow School of Art,Scotland,Sep-17,Jan-18,,2017/2018
Glasgow School of Art,Scotland,Sep-18,Jan-19,,2018/2019
Glasgow School of Art,Scotland,Sep-19,Jan-20,,2019/2020
Glasgow School of Art,Scotland,Sep-20,Jan-21,,2020/2021
Glasgow School of Art,Scotland,Sep-21,Jan-22,,2021/2022
Glasgow School of Art,Scotland,Sep-22,Jan-23,,2022/2023
Glasgow School of Art,Scotland,Sep-23,Jan-24,,2023/2024
The University of Glasgow,Scotland,Sep-14,Jan-15,,2014/2015
The University of Glasgow,Scotland,Sep-15,Jan-16,,2015/2016
The University of Glasgow,Scotland,Sep-16,Jan-17,,2016/2017
The University of Glasgow,Scotland,Sep-17,Jan-18,,2017/2018
The University of Glasgow,Scotland,Sep-18,Jan-19,,2018/2019
The University of Glasgow,Scotland,Sep-19,Jan-20,,2019/2020
The University of Glasgow,Scotland,Sep-20,Jan-21,,2020/2021
The University of Glasgow,Scotland,Sep-21,Jan-22,,2021/2022
The University of Glasgow,Scotland,Sep-22,Jan-23,,2022/2023
The University of Glasgow,Scotland,Sep-23,Jan-24,,2023/2024
Heriot-Watt University,Scotland,Sep-14,Jan-15,,2014/2015
Heriot-Watt University,Scotland,Sep-15,Jan-16,,2015/2016
Heriot-Watt University,Scotland,Sep-16,Jan-17,,2016/2017
Heriot-Watt University,Scotland,Sep-17,Jan-18,,2017/2018
Heriot-Watt University,Scotland,Sep-18,Jan-19,,2018/2019
Heriot-Watt University,Scotland,Sep-19,Jan-20,,2019/2020
Heriot-Watt University,Scotland,Sep-20,Jan-21,,2020/2021
Heriot-Watt University,Scotland,Sep-21,Jan-22,,2021/2022
Heriot-Watt University,Scotland,Sep-22,Jan-23,,2022/2023
Heriot-Watt University,Scotland,Sep-23,Jan-24,,2023/2024
"Queen Margaret University, Edinburgh",Scotland,Sep-14,Jan-15,,2014/2015
"Queen Margaret University, Edinburgh",Scotland,Sep-15,Jan-16,,2015/2016
"Queen Margaret University, Edinburgh",Scotland,Sep-16,Jan-17,,2016/2017
"Queen Margaret University, Edinburgh",Scotland,Sep-17,Jan-18,,2017/2018
"Queen Margaret University, Edinburgh",Scotland,Sep-18,Jan-19,,2018/2019
"Queen Margaret University, Edinburgh",Scotland,Sep-19,Jan-20,,2019/2020
"Queen Margaret University, Edinburgh",Scotland,Sep-20,Jan-21,,2020/2021
"Queen Margaret University, Edinburgh",Scotland,Sep-21,Jan-22,,2021/2022
"Queen Margaret University, Edinburgh",Scotland,Sep-22,Jan-23,,2022/2023
"Queen Margaret University, Edinburgh",Scotland,Sep-23,Jan-24,,2023/2024
Robert Gordon University,Scotland,Sep-14,Jan-15,,2014/2015
Robert Gordon University,Scotland,Sep-15,Jan-16,,2015/2016
Robert Gordon University,Scotland,Sep-16,Jan-17,,2016/2017
Robert Gordon University,Scotland,Sep-17,Jan-18,,2017/2018
Robert Gordon University,Scotland,Sep-18,Jan-19,,2018/2019
Robert Gordon University,Scotland,Sep-19,Jan-20,,2019/2020
Robert Gordon University,Scotland,Sep-20,Jan-21,,2020/2021
Robert Gordon University,Scotland,Sep-21,Jan-22,,2021/2022
Robert Gordon University,Scotland,Sep-22,Jan-23,,2022/2023
Robert Gordon University,Scotland,Sep-23,Jan-24,,2023/2024
Royal Conservatoire of Scotland,Scotland,Sep-14,Jan-15,,2014/2015
Royal Conservatoire of Scotland,Scotland,Sep-15,Jan-16,,2015/2016
Royal Conservatoire of Scotland,Scotland,Sep-16,Jan-17,,2016/2017
Royal Conservatoire of Scotland,Scotland,Sep-17,Jan-18,,2017/2018
Royal Conservatoire of Scotland,Scotland,Sep-18,Jan-19,,2018/2019
Royal Conservatoire of Scotland,Scotland,Sep-19,Jan-20,,2019/2020
Royal Conservatoire of Scotland,Scotland,Sep-20,Jan-21,,2020/2021
Royal Conservatoire of Scotland,Scotland,Sep-21,Jan-22,,2021/2022
Royal Conservatoire of Scotland,Scotland,Sep-22,Jan-23,,2022/2023
Royal Conservatoire of Scotland,Scotland,Sep-23,Jan-24,,2023/2024
The University of St. Andrews,Scotland,Sep-14,Jan-15,,2014/2015
The University of St. Andrews,Scotland,Sep-15,Jan-16,,2015/2016
The University of St. Andrews,Scotland,Sep-16,Jan-17,,2016/2017
The University of St. Andrews,Scotland,Sep-17,Jan-18,,2017/2018
The University of St. Andrews,Scotland,Sep-18,Jan-19,,2018/2019
The University of St. Andrews,Scotland,Sep-19,Jan-20,,2019/2020
The University of St. Andrews,Scotland,Sep-20,Jan-21,,2020/2021
The University of St. Andrews,Scotland,Sep-21,Jan-22,,2021/2022
The University of St. Andrews,Scotland,Sep-22,Jan-23,,2022/2023
The University of St. Andrews,Scotland,Sep-23,Jan-24,,2023/2024
SRUC,Scotland,Sep-14,Jan-15,,2014/2015
SRUC,Scotland,Sep-15,Jan-16,,2015/2016
SRUC,Scotland,Sep-16,Jan-17,,2016/2017
SRUC,Scotland,Sep-17,Jan-18,,2017/2018
SRUC,Scotland,Sep-18,Jan-19,,2018/2019
