﻿Title:,"Table 28 - Non-UK HE students by HE provider and country of domicile"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,Scotland 
,Region of HE provider,Scotland 
,Level of study,Postgraduate (taught) 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cape Verde","Central African Republic","Chad","Comoros","Congo","Congo (Democratic Republic) {formerly Zaire}","Djibouti","Egypt","Equatorial Guinea","Eritrea","Ethiopia","Gabon","Gambia, The","Ghana","Guinea","Guinea-Bissau","Ivory Coast","Kenya","Kingdom of eSwatini","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","Sao Tome And Principe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","St Helena, Ascension and Tristan da Cunha","Sudan","Swaziland","Tanzania","Togo","Tunisia","Uganda","Western Sahara","Zambia","Zimbabwe","Africa not otherwise specified","Total Africa","Total"
"10007783","The University of Aberdeen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","30","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","5","0","95","0","0","0","0","0","5","5","0","0","10","0","15","0","0","5","0","5","0","0","195","1,390"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10007852","The University of Dundee","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","20","0","0","0","10","0","0","0","5","0","0","0","0","0","0","0","5","0","55","0","0","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","5","0","135","1,015"
"10007772","Edinburgh Napier University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","120","1,340"
"10007790","The University of Edinburgh","0","0","0","5","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","5","0","0","0","10","0","0","0","0","0","5","0","0","5","0","0","0","0","20","0","0","0","0","0","0","25","0","0","5","0","5","0","0","0","0","0","10","0","115","4,510"
"10007762","Glasgow Caledonian University","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","85","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","145","875"
"10002681","Glasgow School of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","375"
"10007794","The University of Glasgow","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","5","0","0","0","5","0","0","0","5","0","5","0","0","5","0","0","0","0","55","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","110","4,420"
"10007764","Heriot-Watt University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","5","0","0","80","975"
"10005337","Queen Margaret University, Edinburgh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","405"
"10005500","Robert Gordon University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","275","710"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"10007803","The University of St. Andrews","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","785"
"10005700","SRUC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10007804","The University of Stirling","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","15","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","75","1,330"
"10007805","The University of Strathclyde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","15","0","0","0","10","0","0","0","0","0","10","0","0","0","0","0","5","0","25","5","0","0","0","0","0","10","0","0","0","0","5","0","0","0","0","5","0","0","110","1,890"
"10007114","University of the Highlands and Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10007800","The University of the West of Scotland","10","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","5","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","5","120","615"
"","Total","15","25","0","10","0","0","10","0","0","0","0","0","0","0","65","0","0","5","0","5","205","0","0","0","65","0","5","0","15","5","25","0","0","10","20","5","20","0","740","5","0","5","5","10","5","70","0","0","20","0","60","0","5","25","0","20","35","5","1,530","20,955"
