"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2020","8.9216","8.7661","8.9536","8.5982","","1.85%"
"01/11/2020","8.7599","8.6643","8.8134","8.5972","","1.15%"
"01/10/2020","8.6600","8.7724","8.8335","8.6157","","-1.26%"
"01/09/2020","8.7708","9.1540","9.1946","8.6081","","-4.19%"
"01/08/2020","9.1543","9.1333","9.1821","9.0288","","0.33%"
"01/07/2020","9.1246","8.7619","9.2071","8.7311","","4.16%"
"01/06/2020","8.7600","8.8067","9.0476","8.6666","","-0.54%"
"01/05/2020","8.8072","8.8977","8.9002","8.5758","","-0.93%"
"01/04/2020","8.8900","8.8028","8.9251","8.6276","","1.10%"
"01/03/2020","8.7929","8.9497","9.1672","8.0771","","-1.89%"
"01/02/2020","8.9619","9.1678","9.2443","8.8976","","-2.11%"
"01/01/2020","9.1554","9.2339","9.2497","8.8885","","-0.87%"
