"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","8.7711","8.8876","8.9053","8.5929","","-1.14%"
"01/11/2018","8.8721","8.9051","9.1157","8.8295","","-0.34%"
"01/10/2018","8.9026","8.9511","9.1752","8.8452","","-0.50%"
"01/09/2018","8.9476","8.8615","9.0998","8.7375","","1.08%"
"01/08/2018","8.8524","8.9434","8.9780","8.7133","","-0.86%"
"01/07/2018","8.9293","8.7275","9.0001","8.7150","","2.18%"
"01/06/2018","8.7392","8.5260","8.7509","8.4760","","2.53%"
"01/05/2018","8.5235","8.7152","8.7238","8.4758","","-2.24%"
"01/04/2018","8.7192","8.8059","9.0296","8.6841","","-0.82%"
"01/03/2018","8.7910","8.7119","9.0037","8.6967","","0.97%"
"01/02/2018","8.7067","8.9254","8.9950","8.6670","","-2.36%"
"01/01/2018","8.9171","8.7934","9.0852","8.7531","","1.43%"
"01/12/2017","8.7913","8.9438","8.9630","8.7368","","-1.65%"
"01/11/2017","8.9387","8.8125","8.9600","8.6200","","1.46%"
"01/10/2017","8.8097","8.9082","8.9183","8.6441","","-1.16%"
"01/09/2017","8.9128","8.5218","8.9796","8.4198","","4.63%"
"01/08/2017","8.5187","8.8895","8.9199","8.4784","","-4.12%"
"01/07/2017","8.8851","8.8253","8.8959","8.6960","","0.62%"
"01/06/2017","8.8300","8.7785","8.8397","8.5883","","0.61%"
"01/05/2017","8.7765","8.9289","8.9933","8.7122","","-1.61%"
"01/04/2017","8.9198","8.6371","8.9391","8.5316","","3.23%"
"01/03/2017","8.6405","8.5029","8.6763","8.3781","","1.64%"
"01/02/2017","8.5007","8.6585","8.7452","8.4920","","-1.71%"
"01/01/2017","8.6490","8.5736","8.7162","8.2642","","0.98%"
"01/12/2016","8.5649","8.6117","8.7902","8.4894","","-0.49%"
"01/11/2016","8.6074","8.2949","8.6498","8.2622","","3.80%"
"01/10/2016","8.2921","8.6364","8.6390","7.8858","","-4.16%"
"01/09/2016","8.6524","8.7766","8.9769","8.6133","","-1.37%"
"01/08/2016","8.7724","8.7855","8.8677","8.5391","","-0.06%"
"01/07/2016","8.7776","8.8492","9.0112","8.5662","","-0.76%"
"01/06/2016","8.8450","9.5308","9.8797","8.7268","","-7.14%"
"01/05/2016","9.5256","9.4586","9.6936","9.3491","","0.71%"
"01/04/2016","9.4589","9.2614","9.5060","9.0779","","2.17%"
"01/03/2016","9.2580","9.1219","9.3991","9.1048","","1.54%"
"01/02/2016","9.1178","9.3639","9.6481","9.0520","","-2.65%"
"01/01/2016","9.3664","9.5690","9.6827","9.2638","","-2.11%"
"01/12/2015","9.5681","9.6334","9.8382","9.5309","","-0.66%"
"01/11/2015","9.6317","9.7602","9.8219","9.5448","","-1.19%"
"01/10/2015","9.7474","9.6173","9.8596","9.6020","","1.39%"
"01/09/2015","9.6141","9.7837","9.9665","9.6037","","-1.72%"
"01/08/2015","9.7821","9.7058","10.1449","9.5775","","0.84%"
"01/07/2015","9.7008","9.7421","9.7583","9.5180","","-0.37%"
"01/06/2015","9.7371","9.4794","9.8893","9.4046","","2.76%"
"01/05/2015","9.4755","9.5222","9.8112","9.3646","","-0.46%"
"01/04/2015","9.5191","9.1861","9.6076","9.0522","","3.64%"
"01/03/2015","9.1844","9.6816","9.6856","9.1000","","-5.07%"
"01/02/2015","9.6751","9.4291","9.7374","9.3793","","2.76%"
"01/01/2015","9.4155","9.6676","9.6731","9.2955","","-2.56%"
"01/12/2014","9.6624","9.6144","9.7711","9.5703","","0.53%"
"01/11/2014","9.6112","9.7665","9.8019","9.5400","","-1.69%"
"01/10/2014","9.7768","9.9527","9.9766","9.7233","","-1.75%"
"01/09/2014","9.9509","10.1952","10.2282","9.8386","","-2.40%"
"01/08/2014","10.1955","10.4257","10.4365","10.1663","","-2.19%"
"01/07/2014","10.4237","10.6119","10.6731","10.4072","","-1.76%"
"01/06/2014","10.6106","10.4752","10.6311","10.4189","","1.40%"
"01/05/2014","10.4639","10.5611","10.5927","10.4195","","-0.90%"
"01/04/2014","10.5591","10.3585","10.5793","10.2836","","1.94%"
"01/03/2014","10.3578","10.2912","10.3737","10.1808","","0.68%"
"01/02/2014","10.2882","9.9682","10.3053","9.8499","","3.32%"
"01/01/2014","9.9578","10.0239","10.0822","9.8670","","-0.65%"
