"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2020","71.315","69.820","71.665","68.130","","2.16%"
"01/11/2020","69.810","68.095","70.670","66.770","","2.93%"
"01/10/2020","67.820","67.630","69.425","66.630","","0.27%"
"01/09/2020","67.640","70.040","71.065","65.740","","-3.46%"
"01/08/2020","70.065","68.870","70.675","66.985","","2.28%"
"01/07/2020","68.500","64.985","69.315","64.225","","5.41%"
"01/06/2020","64.985","64.290","67.680","63.310","","1.92%"
"01/05/2020","63.760","65.200","65.870","62.215","","-1.68%"
"01/04/2020","64.850","63.700","66.095","62.205","","2.40%"
"01/03/2020","63.330","66.560","68.490","58.380","","-2.76%"
"01/02/2020","65.130","68.695","68.695","65.250","","-5.09%"
"01/01/2020","68.620","68.160","69.090","66.040","","0.82%"
"01/12/2019","68.060","66.395","69.680","65.695","","2.58%"
"01/11/2019","66.350","66.665","67.805","64.035","","-0.49%"
"01/10/2019","66.675","62.980","68.075","61.665","","6.37%"
"01/09/2019","62.680","62.690","65.310","60.715","","1.90%"
"01/08/2019","61.510","61.500","63.465","60.240","","0.69%"
"01/07/2019","61.090","64.710","64.885","60.620","","-4.81%"
"01/06/2019","64.175","64.335","65.130","62.085","","0.62%"
"01/05/2019","63.780","65.715","67.115","62.705","","-2.95%"
"01/04/2019","65.720","66.220","66.995","63.905","","0.11%"
"01/03/2019","65.650","66.740","67.425","64.050","","-1.65%"
"01/02/2019","66.750","66.010","67.185","62.840","","1.12%"
"01/01/2019","66.010","64.410","66.590","61.655","","2.50%"
