"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","64.400","64.385","64.890","61.675","","0.11%"
"01/11/2018","64.330","64.340","66.515","62.715","","-0.02%"
"01/10/2018","64.340","64.965","66.660","61.925","","-0.95%"
"01/09/2018","64.955","63.560","66.390","61.175","","2.70%"
"01/08/2018","63.250","63.965","64.285","60.590","","-1.10%"
"01/07/2018","63.955","63.040","64.930","61.515","","1.84%"
"01/06/2018","62.800","63.545","64.910","61.295","","-0.48%"
"01/05/2018","63.100","65.745","66.280","61.700","","-3.41%"
"01/04/2018","65.330","67.065","69.150","64.515","","-2.40%"
"01/03/2018","66.935","65.705","68.500","64.530","","1.86%"
"01/02/2018","65.710","68.880","69.620","65.025","","-4.60%"
"01/01/2018","68.875","64.195","69.960","63.440","","7.29%"
"01/12/2017","64.195","65.110","66.190","63.090","","-1.42%"
"01/11/2017","65.120","63.490","65.575","61.000","","3.22%"
"01/10/2017","63.090","60.225","63.795","58.430","","4.70%"
"01/09/2017","60.260","59.615","63.890","58.160","","1.09%"
"01/08/2017","59.610","60.825","62.935","57.375","","-2.00%"
"01/07/2017","60.825","58.545","62.685","57.695","","3.81%"
"01/06/2017","58.595","58.075","60.945","56.865","","0.90%"
"01/05/2017","58.070","58.245","61.665","57.130","","-0.95%"
"01/04/2017","58.625","56.160","59.030","55.110","","4.28%"
"01/03/2017","56.220","55.010","58.195","53.960","","2.20%"
"01/02/2017","55.010","57.410","57.820","53.855","","-4.16%"
"01/01/2017","57.400","53.640","58.095","50.100","","7.07%"
"01/12/2016","53.610","51.380","55.220","49.930","","4.33%"
"01/11/2016","51.385","52.420","54.450","50.870","","-1.99%"
"01/10/2016","52.430","55.250","55.475","50.645","","-5.33%"
"01/09/2016","55.380","55.990","57.785","54.800","","-1.07%"
"01/08/2016","55.980","55.835","57.305","52.610","","-0.65%"
"01/07/2016","56.345","57.035","58.040","54.310","","-1.21%"
"01/06/2016","57.035","61.430","64.550","55.910","","-7.15%"
"01/05/2016","61.430","61.990","64.135","58.695","","-0.93%"
"01/04/2016","62.005","61.535","63.005","57.590","","0.76%"
"01/03/2016","61.540","54.655","62.115","54.170","","12.61%"
"01/02/2016","54.650","56.105","60.810","54.070","","-2.65%"
"01/01/2016","56.135","57.765","58.780","55.205","","-2.85%"
"01/12/2015","57.780","59.610","60.660","57.530","","-3.07%"
"01/11/2015","59.610","60.140","61.545","58.310","","-1.22%"
"01/10/2015","60.345","58.925","62.165","58.765","","2.41%"
"01/09/2015","58.925","60.960","63.735","58.595","","-3.34%"
"01/08/2015","60.960","60.845","64.035","59.920","","0.22%"
"01/07/2015","60.825","62.055","63.755","59.430","","-1.98%"
"01/06/2015","62.055","65.610","68.655","60.765","","-5.40%"
"01/05/2015","65.595","65.905","68.150","64.805","","-0.47%"
"01/04/2015","65.905","63.865","66.795","62.460","","3.19%"
"01/03/2015","63.870","66.320","66.520","62.710","","-3.99%"
"01/02/2015","66.525","64.725","70.250","64.435","","2.91%"
"01/01/2015","64.645","66.600","69.050","63.390","","-2.93%"
"01/12/2014","66.595","67.470","69.580","66.480","","-1.27%"
"01/11/2014","67.450","68.860","70.575","67.190","","-2.18%"
"01/10/2014","68.950","64.205","70.465","63.025","","7.39%"
"01/09/2014","64.205","65.720","68.190","63.565","","-2.32%"
"01/08/2014","65.730","66.890","67.375","65.460","","-1.73%"
"01/07/2014","66.885","67.745","73.165","65.900","","-1.25%"
"01/06/2014","67.735","66.395","69.450","65.815","","2.11%"
"01/05/2014","66.335","66.815","69.300","64.760","","-0.72%"
"01/04/2014","66.815","64.310","68.295","62.725","","3.88%"
"01/03/2014","64.320","63.975","66.105","61.745","","0.55%"
"01/02/2014","63.965","62.660","66.165","61.910","","2.16%"
"01/01/2014","62.615","63.050","63.925","61.850","","-0.70%"
