"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","105.893","105.262","106.787","104.185","","0.65%"
"01/11/2023","105.213","101.227","106.090","100.711","","3.99%"
"01/10/2023","101.173","101.311","102.593","100.198","","-0.10%"
"01/09/2023","101.272","104.826","105.082","100.761","","-3.37%"
"01/08/2023","104.808","105.594","106.315","103.744","","-0.71%"
"01/07/2023","105.555","104.155","107.943","103.674","","1.21%"
"01/06/2023","104.288","102.866","105.257","102.218","","1.42%"
"01/05/2023","102.829","102.725","103.857","101.750","","0.18%"
"01/04/2023","102.648","101.330","102.948","100.936","","1.30%"
"01/03/2023","101.328","99.352","101.996","96.660","","2.01%"
"01/02/2023","99.333","100.730","101.848","98.664","","-1.36%"
"01/01/2023","100.702","100.100","101.330","97.939","","0.64%"
"01/12/2022","100.063","98.104","102.863","97.896","","2.02%"
"01/11/2022","98.086","94.953","99.218","91.733","","3.33%"
"01/10/2022","94.929","90.982","95.806","89.936","","4.36%"
"01/09/2022","90.964","92.415","93.078","84.376","","-1.54%"
"01/08/2022","92.384","96.531","97.433","92.237","","-4.29%"
"01/07/2022","96.520","96.160","97.335","93.916","","0.41%"
"01/06/2022","96.122","97.804","97.913","93.107","","-1.65%"
"01/05/2022","97.737","96.335","98.311","94.233","","1.61%"
"01/04/2022","96.193","99.750","100.138","95.168","","-3.51%"
"01/03/2022","99.689","101.356","101.814","98.733","","-1.59%"
"01/02/2022","101.304","100.255","102.590","99.936","","1.10%"
"01/01/2022","100.204","100.787","101.956","99.821","","-0.54%"
