"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","88.738","88.933","91.741","88.227","","-0.10%"
"01/11/2018","88.826","94.417","95.922","88.658","","-5.91%"
"01/10/2018","94.405","94.492","98.549","93.465","","-0.05%"
"01/09/2018","94.453","92.104","96.141","91.271","","2.64%"
"01/08/2018","92.023","89.871","92.442","87.646","","2.44%"
"01/07/2018","89.834","90.241","91.761","89.219","","-0.63%"
"01/06/2018","90.402","89.685","90.953","89.043","","0.83%"
"01/05/2018","89.655","91.456","92.188","89.395","","-2.01%"
"01/04/2018","91.495","91.372","94.360","90.672","","0.27%"
"01/03/2018","91.252","89.732","92.570","89.384","","1.72%"
"01/02/2018","89.709","90.193","91.579","88.469","","-0.50%"
"01/01/2018","90.163","86.276","91.190","85.650","","4.54%"
"01/12/2017","86.247","87.223","87.391","85.213","","-1.10%"
"01/11/2017","87.209","86.001","87.354","84.226","","1.42%"
"01/10/2017","85.988","87.443","87.541","85.010","","-1.71%"
"01/09/2017","87.483","82.677","88.467","82.533","","5.84%"
"01/08/2017","82.655","84.843","84.920","81.821","","-2.52%"
"01/07/2017","84.794","84.103","84.905","82.650","","0.75%"
"01/06/2017","84.161","83.157","84.380","81.229","","1.24%"
"01/05/2017","83.134","83.272","84.627","82.385","","-0.08%"
"01/04/2017","83.204","81.340","83.413","79.467","","2.21%"
"01/03/2017","81.406","82.613","82.811","79.549","","-1.42%"
"01/02/2017","82.575","84.947","85.696","82.552","","-2.72%"
"01/01/2017","84.882","83.890","86.207","81.690","","1.27%"
"01/12/2016","83.816","85.779","86.919","82.905","","-2.27%"
"01/11/2016","85.763","81.636","86.025","81.421","","5.07%"
"01/10/2016","81.624","86.157","86.183","78.836","","-5.47%"
"01/09/2016","86.343","88.003","89.196","85.989","","-1.85%"
"01/08/2016","87.969","88.228","89.549","86.011","","-0.17%"
"01/07/2016","88.118","89.854","90.228","86.289","","-1.90%"
"01/06/2016","89.827","97.305","101.056","89.143","","-7.67%"
"01/05/2016","97.284","97.046","99.233","95.576","","0.25%"
"01/04/2016","97.039","95.148","97.532","93.369","","2.02%"
"01/03/2016","95.122","94.933","96.695","93.988","","0.24%"
"01/02/2016","94.898","96.655","99.531","94.567","","-1.84%"
"01/01/2016","96.678","97.565","98.612","95.604","","-0.91%"
"01/12/2015","97.563","100.069","102.335","97.487","","-2.47%"
"01/11/2015","100.037","101.050","101.697","99.038","","-0.87%"
"01/10/2015","100.919","99.131","101.197","98.519","","1.84%"
"01/09/2015","99.092","101.899","103.284","98.951","","-2.73%"
"01/08/2015","101.874","100.013","105.573","98.462","","1.93%"
"01/07/2015","99.946","99.925","100.613","97.138","","0.07%"
"01/06/2015","99.874","97.485","101.627","96.499","","2.50%"
"01/05/2015","97.435","97.527","100.961","95.732","","-0.06%"
"01/04/2015","97.496","92.300","98.593","90.874","","5.66%"
"01/03/2015","92.276","95.214","95.622","91.738","","-3.01%"
"01/02/2015","95.137","93.566","96.396","92.535","","1.83%"
"01/01/2015","93.424","98.192","98.748","91.830","","-4.82%"
"01/12/2014","98.157","97.362","100.497","96.254","","0.87%"
"01/11/2014","97.310","98.110","98.379","96.275","","-0.90%"
"01/10/2014","98.193","100.426","100.466","97.232","","-2.19%"
"01/09/2014","100.393","100.436","100.688","96.826","","-0.03%"
"01/08/2014","100.420","102.257","103.771","99.934","","-1.77%"
"01/07/2014","102.233","102.747","103.370","101.440","","-0.45%"
"01/06/2014","102.695","99.246","102.878","98.883","","3.60%"
"01/05/2014","99.127","101.817","102.087","98.120","","-2.62%"
"01/04/2014","101.794","99.991","102.874","99.032","","1.81%"
"01/03/2014","99.980","103.488","103.913","99.151","","-3.36%"
"01/02/2014","103.455","103.095","104.249","101.502","","0.45%"
"01/01/2014","102.996","102.342","104.973","100.100","","0.66%"
