"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","53,503.8","52,469.5","53,791.4","52,272.1","","1.99%"
"01/04/2024","52,462.2","53,053.4","53,398.2","51,654.7","","-1.04%"
"01/03/2024","53,012.4","53,028.2","54,162.2","52,813.9","","-0.01%"
"01/02/2024","53,016.6","53,290.7","53,654.0","52,574.5","","-0.49%"
"01/01/2024","53,277.0","53,473.4","53,772.5","52,902.1","","-0.35%"
"01/12/2023","53,461.8","53,024.0","54,161.2","52,498.9","","0.85%"
"01/11/2023","53,012.4","51,051.9","53,808.7","50,802.0","","3.87%"
"01/10/2023","51,038.4","51,247.3","52,079.2","50,556.3","","-0.43%"
"01/09/2023","51,257.9","53,234.0","53,449.8","50,862.9","","-3.70%"
"01/08/2023","53,226.6","53,927.0","54,143.8","52,702.6","","-1.26%"
"01/07/2023","53,907.0","53,288.6","55,503.1","53,164.7","","1.03%"
"01/06/2023","53,356.8","52,251.1","54,271.2","51,946.6","","2.15%"
"01/05/2023","52,235.4","52,782.4","53,540.0","51,658.9","","-0.99%"
"01/04/2023","52,756.2","51,787.0","53,179.9","51,553.9","","1.85%"
"01/03/2023","51,798.6","50,493.3","52,441.0","49,577.7","","2.60%"
"01/02/2023","50,484.0","51,742.9","52,323.8","50,043.9","","-2.44%"
"01/01/2023","51,744.0","50,628.2","52,439.3","49,486.8","","2.19%"
"01/12/2022","50,634.4","51,331.3","52,282.6","50,000.2","","99.70%"
"01/11/2022","25,355.4","24,076.5","25,521.3","23,408.7","","5.29%"
"01/10/2022","24,080.7","23,427.6","24,452.4","22,938.3","","2.66%"
"01/09/2022","23,457.0","24,351.6","24,647.7","21,802.2","","-3.66%"
"01/08/2022","24,347.4","25,546.5","25,813.2","24,341.1","","-4.70%"
"01/07/2022","25,548.6","25,533.9","25,710.3","24,693.9","","0.07%"
"01/06/2022","25,529.7","26,472.6","26,493.6","25,059.3","","-3.56%"
"01/05/2022","26,472.6","26,397.0","26,596.5","25,525.5","","0.28%"
"01/04/2022","26,399.1","27,598.2","27,648.6","26,058.9","","-4.34%"
"01/03/2022","27,598.2","28,177.8","28,217.7","27,293.7","","-2.06%"
"01/02/2022","28,177.8","28,232.4","28,650.3","27,864.9","","-0.18%"
"01/01/2022","28,228.2","28,398.3","28,870.8","28,049.7","","-0.64%"
"01/12/2021","28,408.8","27,919.5","28,452.9","27,657.0","","1.76%"
"01/11/2021","27,917.4","28,730.1","28,765.8","27,709.5","","-2.82%"
"01/10/2021","28,728.0","28,282.8","29,051.4","28,207.2","","1.57%"
"01/09/2021","28,282.8","28,877.1","29,215.2","28,161.0","","-2.07%"
"01/08/2021","28,879.2","29,177.4","34,377.2","28,560.0","","-1.06%"
"01/07/2021","29,190.0","29,036.7","29,364.3","28,497.0","","0.52%"
"01/06/2021","29,038.8","29,876.7","29,918.7","28,948.5","","-2.79%"
"01/05/2021","29,872.5","29,034.6","29,889.3","28,977.9","","2.97%"
"01/04/2021","29,011.5","28,946.4","29,416.8","28,702.8","","0.22%"
"01/03/2021","28,948.5","29,345.4","29,433.6","28,704.9","","-1.33%"
"01/02/2021","29,339.1","28,761.6","29,889.3","28,486.5","","2.00%"
"01/01/2021","28,763.7","28,715.4","28,891.8","28,242.9","","0.17%"
"01/12/2020","28,715.4","28,003.5","28,738.5","27,581.4","","2.55%"
"01/11/2020","28,001.4","27,127.8","28,133.7","26,993.4","","2.98%"
"01/10/2020","27,190.8","27,121.5","27,669.6","26,917.8","","0.25%"
"01/09/2020","27,123.6","28,060.2","54,128.6","26,615.4","","-3.35%"
"01/08/2020","28,062.3","27,468.0","28,125.3","27,258.0","","2.15%"
"01/07/2020","27,472.2","26,010.6","27,654.9","25,951.8","","5.60%"
"01/06/2020","26,014.8","25,922.4","26,905.2","25,725.0","","0.35%"
"01/05/2020","25,924.5","26,413.8","26,418.0","25,355.4","","-1.86%"
"01/04/2020","26,415.9","26,048.4","26,556.6","25,548.6","","1.41%"
"01/03/2020","26,048.4","26,854.8","27,717.9","23,963.1","","-3.24%"
"01/02/2020","26,922.0","27,369.3","27,411.3","26,720.4","","-32.32%"
