"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2016","39,778.9","38,880.4","40,464.9","38,800.9","","2.25%"
"01/10/2016","38,902.6","38,913.3","39,011.3","35,528.0","","-0.25%"
"01/09/2016","39,000.3","39,548.1","40,468.2","38,832.8","","-1.35%"
"01/08/2016","39,535.8","39,798.8","40,209.3","38,666.2","","-0.57%"
"01/07/2016","39,761.0","40,069.4","40,554.5","38,526.7","","-0.75%"
"01/06/2016","40,060.1","43,628.7","45,232.0","39,501.0","","-8.17%"
"01/05/2016","43,622.1","44,079.1","44,561.9","43,215.9","","-1.04%"
"01/04/2016","44,078.5","43,319.2","44,294.7","42,276.8","","1.78%"
"01/03/2016","43,306.6","42,028.9","43,900.0","41,972.8","","3.07%"
"01/02/2016","42,016.3","42,394.6","44,252.8","41,779.5","","-0.92%"
"01/01/2016","42,407.4","43,961.2","44,198.3","41,946.6","","-3.54%"
"01/12/2015","43,963.5","45,000.1","45,504.3","43,923.9","","-2.28%"
"01/11/2015","44,988.9","46,270.6","46,421.9","44,808.8","","-2.64%"
"01/10/2015","46,206.9","45,792.1","46,394.9","45,449.1","","1.97%"
"01/09/2015","45,314.4","45,961.6","46,903.5","45,248.5","","-1.41%"
"01/08/2015","45,961.6","46,244.1","47,226.2","45,817.2","","-0.60%"
"01/07/2015","46,241.1","46,054.3","46,403.9","45,124.1","","0.42%"
"01/06/2015","46,045.5","44,082.4","46,391.9","43,820.4","","4.47%"
"01/05/2015","44,073.8","43,543.6","45,066.7","42,849.9","","1.22%"
"01/04/2015","43,543.6","41,563.1","43,051.8","41,028.9","","4.79%"
"01/03/2015","41,551.5","42,789.8","42,827.4","40,975.2","","-2.81%"
"01/02/2015","42,754.4","41,698.9","43,104.8","41,469.3","","3.08%"
"01/01/2015","41,476.7","42,267.4","42,348.0","40,985.9","","-1.86%"
"01/12/2014","42,262.0","41,960.1","42,580.0","41,791.2","","0.73%"
"01/11/2014","41,954.7","42,662.8","42,785.7","41,718.4","","-1.78%"
"01/10/2014","42,716.2","43,234.2","43,347.9","42,347.1","","-1.20%"
"01/09/2014","43,234.2","44,139.0","44,299.7","42,736.3","","-2.07%"
"01/08/2014","44,149.7","44,412.6","44,649.8","43,893.7","","-0.59%"
"01/07/2014","44,410.0","43,878.6","44,732.5","43,843.5","","1.23%"
"01/06/2014","43,870.9","42,872.9","43,901.7","42,733.4","","2.38%"
"01/05/2014","42,849.8","43,054.0","43,348.3","42,693.3","","-0.46%"
"01/04/2014","43,048.9","42,387.2","43,125.4","42,114.9","","1.54%"
"01/03/2014","42,394.8","41,691.7","42,450.8","41,315.4","","1.70%"
"01/02/2014","41,686.7","40,889.7","41,868.3","40,431.6","","2.02%"
"01/01/2014","40,859.8","41,013.4","41,422.5","40,494.4","","-0.38%"
