"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","200.40","197.00","200.76","191.34","","1.67%"
"01/04/2024","197.11","191.02","200.41","189.98","","3.18%"
"01/03/2024","191.03","189.35","193.62","187.95","","0.90%"
"01/02/2024","189.32","186.38","191.37","185.02","","1.61%"
"01/01/2024","186.32","179.59","188.95","178.68","","3.76%"
"01/12/2023","179.56","187.09","187.55","178.35","","-4.00%"
"01/11/2023","187.05","184.38","188.69","182.74","","1.49%"
"01/10/2023","184.31","182.35","184.45","178.15","","1.18%"
"01/09/2023","182.16","184.47","185.82","180.84","","-1.23%"
"01/08/2023","184.43","182.69","186.79","180.45","","0.99%"
"01/07/2023","182.62","183.12","184.05","176.31","","-0.39%"
"01/06/2023","183.34","173.35","183.92","172.65","","5.79%"
"01/05/2023","173.30","171.38","174.30","167.82","","1.24%"
"01/04/2023","171.18","164.04","171.40","162.86","","4.52%"
"01/03/2023","163.77","163.76","165.49","158.26","","0.04%"
"01/02/2023","163.71","160.27","166.07","156.32","","2.15%"
"01/01/2023","160.27","158.63","161.85","155.34","","1.05%"
"01/12/2022","158.60","166.43","170.10","157.81","","-4.69%"
"01/11/2022","166.41","170.58","170.99","163.07","","-2.43%"
"01/10/2022","170.56","161.35","172.15","159.71","","5.58%"
"01/09/2022","161.54","161.52","167.15","149.32","","0.02%"
"01/08/2022","161.50","162.10","164.44","159.43","","-0.33%"
"01/07/2022","162.04","165.30","166.37","160.35","","-1.94%"
"01/06/2022","165.25","162.21","168.75","159.99","","1.92%"
"01/05/2022","162.14","163.44","163.93","155.59","","-0.66%"
"01/04/2022","163.21","159.89","168.45","159.65","","2.11%"
"01/03/2022","159.83","154.35","164.68","150.96","","3.58%"
"01/02/2022","154.31","154.79","158.10","153.32","","-0.28%"
"01/01/2022","154.75","155.69","157.79","152.88","","-0.60%"
"01/12/2021","155.69","150.49","156.04","148.96","","3.51%"
"01/11/2021","150.41","156.00","156.52","149.71","","-3.63%"
"01/10/2021","156.08","149.93","158.26","149.22","","4.12%"
"01/09/2021","149.90","151.35","152.87","148.94","","-0.94%"
"01/08/2021","151.32","152.51","153.34","149.17","","-0.77%"
"01/07/2021","152.49","153.65","154.09","148.45","","-0.74%"
"01/06/2021","153.62","155.71","155.96","151.30","","-1.30%"
"01/05/2021","155.65","151.09","156.10","150.82","","3.11%"
"01/04/2021","150.95","152.58","153.43","149.05","","-1.04%"
"01/03/2021","152.53","148.55","152.81","148.10","","2.72%"
"01/02/2021","148.49","143.55","150.48","142.82","","3.55%"
"01/01/2021","143.40","141.18","143.98","139.50","","1.59%"
"01/12/2020","141.16","138.98","141.26","136.77","","1.63%"
"01/11/2020","138.90","135.49","140.29","134.87","","2.58%"
"01/10/2020","135.41","136.26","138.10","134.39","","-0.56%"
"01/09/2020","136.17","141.56","142.74","133.05","","-3.81%"
"01/08/2020","141.56","138.52","142.05","137.73","","2.22%"
"01/07/2020","138.48","133.85","139.24","132.93","","3.49%"
"01/06/2020","133.81","133.00","139.76","131.76","","0.56%"
"01/05/2020","133.07","135.04","135.13","129.29","","-1.39%"
"01/04/2020","134.95","133.57","135.78","131.90","","1.06%"
"01/03/2020","133.53","138.35","139.20","124.12","","-3.62%"
"01/02/2020","138.55","143.26","144.98","137.54","","-3.15%"
"01/01/2020","143.05","144.05","144.63","140.84","","-0.72%"
"01/12/2019","144.09","141.53","147.98","140.82","","1.74%"
"01/11/2019","141.63","139.80","141.88","139.31","","1.32%"
"01/10/2019","139.78","132.85","141.51","130.42","","5.23%"
"01/09/2019","132.83","129.15","135.74","126.67","","2.80%"
"01/08/2019","129.21","132.18","132.59","126.54","","-2.26%"
"01/07/2019","132.20","137.00","137.80","131.62","","-3.45%"
"01/06/2019","136.93","137.02","138.41","135.37","","0.12%"
"01/05/2019","136.76","145.23","146.54","136.62","","-5.81%"
"01/04/2019","145.20","144.32","147.22","143.70","","0.53%"
"01/03/2019","144.44","147.72","148.90","143.71","","-2.20%"
"01/02/2019","147.69","142.74","148.29","140.99","","3.50%"
"01/01/2019","142.70","139.84","144.85","131.96","","2.10%"
