"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","139.77","144.89","145.62","139.44","","-3.42%"
"01/11/2018","144.72","144.19","149.51","143.98","","0.38%"
"01/10/2018","144.17","148.16","149.53","142.74","","-2.65%"
"01/09/2018","148.10","144.10","149.74","142.59","","2.90%"
"01/08/2018","143.92","146.87","147.17","139.87","","-1.97%"
"01/07/2018","146.81","145.85","149.34","145.16","","0.45%"
"01/06/2018","146.15","144.73","148.15","143.76","","1.00%"
"01/05/2018","144.70","150.46","150.63","143.18","","-3.88%"
"01/04/2018","150.54","149.17","153.88","148.38","","1.09%"
"01/03/2018","148.92","146.79","150.65","144.96","","1.46%"
"01/02/2018","146.77","154.96","156.64","146.71","","-5.27%"
"01/01/2018","154.94","152.29","156.11","150.18","","1.77%"
"01/12/2017","152.24","152.21","153.43","149.40","","0.04%"
"01/11/2017","152.18","150.94","152.43","146.97","","0.84%"
"01/10/2017","150.91","150.57","151.42","146.93","","0.17%"
"01/09/2017","150.66","142.21","152.88","141.18","","5.97%"
"01/08/2017","142.17","145.71","146.81","139.29","","-2.40%"
"01/07/2017","145.67","145.91","147.80","144.01","","-0.46%"
"01/06/2017","146.34","142.79","146.59","138.65","","2.51%"
"01/05/2017","142.75","144.14","148.13","141.46","","-1.14%"
"01/04/2017","144.39","139.68","144.54","135.59","","3.27%"
"01/03/2017","139.82","139.63","140.77","137.51","","0.17%"
"01/02/2017","139.58","141.88","144.16","138.51","","-1.61%"
"01/01/2017","141.86","144.30","145.44","136.45","","-1.60%"
"01/12/2016","144.17","143.13","148.49","142.13","","0.75%"
"01/11/2016","143.10","128.35","143.30","126.47","","11.53%"
"01/10/2016","128.31","131.19","132.27","122.75","","-2.41%"
"01/09/2016","131.48","135.90","138.85","129.64","","-3.22%"
"01/08/2016","135.86","135.12","136.29","129.22","","0.66%"
"01/07/2016","134.97","137.49","143.26","128.81","","-1.78%"
"01/06/2016","137.42","160.29","160.68","133.24","","-14.24%"
"01/05/2016","160.23","155.32","163.92","153.61","","3.11%"
"01/04/2016","155.39","161.66","162.86","151.65","","-3.85%"
"01/03/2016","161.61","156.85","164.15","156.20","","3.09%"
"01/02/2016","156.77","172.38","175.02","154.74","","-9.07%"
"01/01/2016","172.41","177.30","177.91","163.96","","-2.76%"
"01/12/2015","177.30","185.35","186.40","176.93","","-4.31%"
"01/11/2015","185.28","186.38","188.85","183.57","","-0.43%"
"01/10/2015","186.08","181.34","186.77","180.65","","2.65%"
"01/09/2015","181.28","186.00","188.53","180.29","","-2.52%"
"01/08/2015","185.96","193.71","195.32","183.63","","-3.94%"
"01/07/2015","193.59","192.46","194.63","184.99","","0.63%"
"01/06/2015","192.37","189.79","196.07","188.52","","1.39%"
"01/05/2015","189.74","183.24","190.73","180.93","","3.59%"
"01/04/2015","183.17","178.00","184.19","174.85","","2.92%"
"01/03/2015","177.97","184.59","184.99","176.46","","-3.50%"
"01/02/2015","184.43","177.20","185.09","175.49","","4.23%"
"01/01/2015","176.94","186.46","187.35","175.74","","-5.06%"
"01/12/2014","186.38","185.76","189.74","181.59","","0.43%"
"01/11/2014","185.58","179.93","186.16","179.65","","3.32%"
"01/10/2014","179.62","177.79","179.87","168.01","","1.05%"
"01/09/2014","177.75","172.68","180.75","169.32","","2.93%"
"01/08/2014","172.69","173.59","173.88","170.41","","-0.50%"
"01/07/2014","173.55","173.32","175.40","172.57","","0.17%"
"01/06/2014","173.26","170.68","174.13","170.44","","1.63%"
"01/05/2014","170.48","172.54","173.49","169.51","","-1.16%"
"01/04/2014","172.48","171.96","173.20","169.49","","0.31%"
"01/03/2014","171.94","170.06","173.60","167.75","","0.88%"
"01/02/2014","170.44","167.86","171.93","163.88","","1.66%"
"01/01/2014","167.66","174.38","174.89","167.56","","-3.83%"
