"Date","Price","Open","High","Low","Vol.","Change %"
"28/02/2019","132.564","133.166","133.449","132.464","196.70K","-0.45%"
"27/02/2019","133.157","132.756","133.566","132.453","193.62K","0.29%"
"26/02/2019","132.775","131.143","133.023","131.143","179.45K","1.18%"
"25/02/2019","131.232","130.881","131.412","130.541","151.77K","0.43%"
"22/02/2019","130.666","130.641","130.946","129.806","162.40K","-0.03%"
"21/02/2019","130.711","130.907","131.291","130.471","187.85K","-0.09%"
"20/02/2019","130.831","130.941","131.423","130.280","180.93K","-0.10%"
"19/02/2019","130.967","129.350","131.077","129.055","153.74K","1.18%"
"18/02/2019","129.434","129.059","129.669","129.049","136.89K","0.31%"
"15/02/2019","129.029","128.277","129.119","128.019","170.74K","0.51%"
"14/02/2019","128.371","128.683","129.181","127.745","160.40K","-0.24%"
"13/02/2019","128.678","129.316","129.848","128.668","164.29K","-0.44%"
"12/02/2019","129.242","129.297","129.641","128.633","174.48K","-0.03%"
"11/02/2019","129.281","130.017","130.127","129.221","133.69K","-0.55%"
"08/02/2019","129.998","129.809","130.583","129.540","158.65K","0.15%"
"07/02/2019","129.804","129.410","130.235","128.739","169.42K","0.31%"
"06/02/2019","129.405","129.619","129.939","129.325","188.01K","-0.13%"
"05/02/2019","129.569","130.479","130.951","129.369","173.65K","-0.72%"
"04/02/2019","130.505","131.378","131.594","130.425","135.45K","-0.62%"
"01/02/2019","131.323","132.138","132.199","130.952","166.80K","-0.62%"
