"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","129.866","130.941","131.877","127.827","","-0.67%"
"01/11/2018","130.739","130.341","134.416","130.065","","0.40%"
"01/10/2018","130.213","131.358","133.836","129.223","","-0.75%"
"01/09/2018","131.192","130.623","134.054","128.804","","0.62%"
"01/08/2018","130.388","131.931","132.098","127.615","","-1.05%"
"01/07/2018","131.765","133.001","134.855","130.567","","-1.02%"
"01/06/2018","133.127","134.801","136.027","131.705","","-1.08%"
"01/05/2018","134.576","138.023","138.566","133.901","","-2.46%"
"01/04/2018","137.965","141.728","144.679","137.591","","-2.44%"
"01/03/2018","141.411","139.531","143.748","138.898","","1.46%"
"01/02/2018","139.379","144.905","145.901","138.741","","-3.70%"
"01/01/2018","144.738","139.470","146.954","138.742","","3.90%"
"01/12/2017","139.309","139.375","139.796","137.146","","0.05%"
"01/11/2017","139.240","137.867","139.628","135.029","","1.09%"
"01/10/2017","137.734","138.174","138.329","134.389","","-0.27%"
"01/09/2017","138.113","133.065","141.219","132.581","","3.91%"
"01/08/2017","132.910","137.441","137.773","131.842","","-3.19%"
"01/07/2017","137.294","134.966","137.540","133.032","","1.74%"
"01/06/2017","134.939","133.288","135.174","130.055","","1.36%"
"01/05/2017","133.133","133.670","134.927","131.968","","-0.25%"
"01/04/2017","133.473","129.423","133.825","127.756","","3.13%"
"01/03/2017","129.421","127.400","129.798","124.294","","1.69%"
"01/02/2017","127.266","130.601","131.915","127.308","","-2.42%"
"01/01/2017","130.423","126.499","131.804","124.498","","3.28%"
"01/12/2016","126.284","127.296","130.290","124.852","","-0.69%"
"01/11/2016","127.166","124.379","129.095","123.748","","2.34%"
"01/10/2016","124.256","131.133","131.173","119.737","","-5.37%"
"01/09/2016","131.307","133.043","136.280","130.727","","-1.18%"
"01/08/2016","132.881","134.218","135.669","130.549","","-0.81%"
"01/07/2016","133.969","134.574","136.708","129.329","","-0.34%"
"01/06/2016","134.421","145.938","151.712","132.840","","-7.79%"
"01/05/2016","145.783","147.561","149.333","144.129","","-1.11%"
"01/04/2016","147.425","145.692","148.488","141.862","","1.26%"
"01/03/2016","145.590","141.824","147.410","141.188","","2.78%"
"01/02/2016","141.655","145.813","149.868","140.619","","-2.79%"
"01/01/2016","145.726","150.749","151.563","143.995","","-3.25%"
"01/12/2015","150.622","153.877","155.592","150.621","","-2.00%"
"01/11/2015","153.701","157.570","158.236","153.055","","-2.23%"
"01/10/2015","157.211","158.395","160.234","154.701","","-0.64%"
"01/09/2015","158.228","159.342","164.975","158.170","","-0.59%"
"01/08/2015","159.173","160.051","164.286","155.799","","-0.40%"
"01/07/2015","159.813","156.045","161.328","153.748","","2.56%"
"01/06/2015","155.825","149.494","157.096","147.026","","4.38%"
"01/05/2015","149.287","145.225","152.840","142.638","","2.92%"
"01/04/2015","145.048","136.914","146.704","135.166","","6.07%"
"01/03/2015","136.752","141.140","141.262","134.436","","-2.94%"
"01/02/2015","140.894","138.268","142.538","137.380","","2.21%"
"01/01/2015","137.854","141.054","141.250","136.666","","-2.02%"
"01/12/2014","140.702","141.168","143.026","139.973","","-0.08%"
"01/11/2014","140.814","142.919","143.694","140.308","","-1.53%"
"01/10/2014","142.995","144.706","145.231","141.565","","-1.01%"
"01/09/2014","144.449","146.704","147.382","142.300","","-1.43%"
"01/08/2014","146.551","148.264","148.471","145.737","","-1.03%"
"01/07/2014","148.073","149.947","151.084","148.022","","-1.17%"
"01/06/2014","149.822","147.038","150.094","145.883","","2.11%"
"01/05/2014","146.730","146.808","148.709","145.857","","0.02%"
"01/04/2014","146.702","143.951","147.060","143.287","","2.02%"
"01/03/2014","143.793","144.778","145.344","142.383","","-0.60%"
"01/02/2014","144.660","142.262","145.355","139.844","","1.89%"
"01/01/2014","141.973","143.140","144.172","139.973","","-0.52%"
