"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","0.3902","0.3851","0.3925","0.3833","","1.54%"
"01/04/2024","0.3843","0.3884","0.3909","0.3790","","-0.95%"
"01/03/2024","0.3880","0.3886","0.3961","0.3868","","-0.13%"
"01/02/2024","0.3885","0.3902","0.3926","0.3852","","-0.38%"
"01/01/2024","0.3900","0.3911","0.3932","0.3877","","-0.26%"
"01/12/2023","0.3910","0.3900","0.3940","0.3853","","0.28%"
"01/11/2023","0.3899","0.3762","0.3925","0.3740","","3.67%"
"01/10/2023","0.3761","0.3770","0.3815","0.3722","","-0.24%"
"01/09/2023","0.3770","0.3907","0.3918","0.3745","","-3.48%"
"01/08/2023","0.3906","0.3942","0.3948","0.3871","","-0.81%"
"01/07/2023","0.3938","0.3901","0.4026","0.3891","","0.82%"
"01/06/2023","0.3906","0.3826","0.3945","0.3805","","2.14%"
"01/05/2023","0.3824","0.3855","0.3886","0.3785","","-0.65%"
"01/04/2023","0.3849","0.3785","0.3857","0.3764","","1.72%"
"01/03/2023","0.3784","0.3690","0.3809","0.3627","","2.55%"
"01/02/2023","0.3690","0.3760","0.3783","0.3654","","-1.86%"
"01/01/2023","0.3760","0.3699","0.3805","0.3634","","1.65%"
"01/12/2022","0.3699","0.3708","0.3814","0.3674","","-0.22%"
"01/11/2022","0.3707","0.3554","0.3737","0.3460","","4.42%"
"01/10/2022","0.3550","0.3460","0.3602","0.3389","","2.63%"
"01/09/2022","0.3459","0.3582","0.3617","0.3219","","-3.41%"
"01/08/2022","0.3581","0.3736","0.3769","0.3575","","-4.05%"
"01/07/2022","0.3732","0.3735","0.3754","0.3625","","-0.03%"
"01/06/2022","0.3733","0.3859","0.3864","0.3672","","-3.19%"
"01/05/2022","0.3856","0.3856","0.3877","0.3733","","0.13%"
"01/04/2022","0.3851","0.3993","0.4013","0.3809","","-3.48%"
"01/03/2022","0.3990","0.4067","0.4072","0.3952","","-1.77%"
"01/02/2022","0.4062","0.4075","0.4152","0.4021","","-0.17%"
"01/01/2022","0.4069","0.4094","0.4153","0.4047","","-0.46%"
"01/12/2021","0.4088","0.4023","0.4099","0.3987","","1.72%"
"01/11/2021","0.4019","0.4128","0.4133","0.3992","","-2.57%"
"01/10/2021","0.4125","0.4064","0.4173","0.4051","","1.63%"
"01/09/2021","0.4059","0.4135","0.4182","0.4043","","-1.77%"
"01/08/2021","0.4132","0.4175","0.4193","0.4096","","-0.96%"
"01/07/2021","0.4172","0.4160","0.4209","0.4081","","0.43%"
"01/06/2021","0.4154","0.4275","0.4286","0.4148","","-2.67%"
"01/05/2021","0.4268","0.4166","0.4279","0.4158","","2.65%"
"01/04/2021","0.4158","0.4167","0.4221","0.4125","","-0.14%"
"01/03/2021","0.4164","0.4220","0.4241","0.4130","","-1.16%"
"01/02/2021","0.4213","0.4153","0.4308","0.4112","","1.69%"
"01/01/2021","0.4143","0.4159","0.4169","0.4084","","-0.22%"
"01/12/2020","0.4152","0.4070","0.4164","0.4011","","2.17%"
"01/11/2020","0.4064","0.3963","0.4099","0.3936","","2.91%"
"01/10/2020","0.3949","0.3958","0.4026","0.3927","","-0.20%"
"01/09/2020","0.3957","0.4082","0.4114","0.3881","","-2.99%"
"01/08/2020","0.4079","0.4002","0.4091","0.3973","","2.08%"
"01/07/2020","0.3996","0.3817","0.4026","0.3803","","4.80%"
"01/06/2020","0.3813","0.3804","0.3939","0.3770","","0.26%"
"01/05/2020","0.3803","0.3896","0.3898","0.3733","","-2.26%"
"01/04/2020","0.3891","0.3899","0.3934","0.3774","","-0.03%"
"01/03/2020","0.3892","0.3912","0.4033","0.3550","","-0.69%"
"01/02/2020","0.3919","0.4012","0.4016","0.3893","","-2.20%"
"01/01/2020","0.4007","0.4020","0.4026","0.3929","","-0.27%"
"01/12/2019","0.4018","0.3929","0.4105","0.3916","","2.27%"
"01/11/2019","0.3929","0.3927","0.3943","0.3880","","0.18%"
"01/10/2019","0.3922","0.3740","0.3947","0.3708","","4.98%"
"01/09/2019","0.3736","0.3692","0.3821","0.3638","","1.36%"
"01/08/2019","0.3686","0.3699","0.3740","0.3653","","-0.30%"
"01/07/2019","0.3697","0.3848","0.3859","0.3688","","-3.97%"
"01/06/2019","0.3850","0.3836","0.3881","0.3801","","0.26%"
"01/05/2019","0.3840","0.3968","0.4011","0.3823","","-3.08%"
"01/04/2019","0.3962","0.3966","0.4017","0.3916","","0.13%"
"01/03/2019","0.3957","0.4022","0.4068","0.3934","","-1.52%"
"01/02/2019","0.4018","0.3971","0.4054","0.3880","","1.34%"
"01/01/2019","0.3965","0.3871","0.4011","0.3776","","2.53%"
