"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","0.3867","0.3882","0.3902","0.3794","","-0.26%"
"01/11/2018","0.3877","0.3880","0.4002","0.3868","","0.05%"
"01/10/2018","0.3875","0.3950","0.4020","0.3857","","-1.82%"
"01/09/2018","0.3947","0.3928","0.4026","0.3875","","0.69%"
"01/08/2018","0.3920","0.3974","0.3979","0.3844","","-1.23%"
"01/07/2018","0.3969","0.3985","0.4040","0.3929","","-0.63%"
"01/06/2018","0.3994","0.4022","0.4069","0.3952","","-0.55%"
"01/05/2018","0.4016","0.4141","0.4146","0.3991","","-3.04%"
"01/04/2018","0.4142","0.4207","0.4311","0.4127","","-1.24%"
"01/03/2018","0.4194","0.4133","0.4268","0.4116","","1.62%"
"01/02/2018","0.4127","0.4253","0.4280","0.4132","","-2.83%"
"01/01/2018","0.4247","0.4081","0.4297","0.4060","","4.35%"
"01/12/2017","0.4070","0.4083","0.4094","0.4017","","-0.20%"
"01/11/2017","0.4078","0.4020","0.4094","0.3943","","1.59%"
"01/10/2017","0.4014","0.4043","0.4047","0.3935","","-0.67%"
"01/09/2017","0.4041","0.3902","0.4115","0.3891","","3.70%"
"01/08/2017","0.3897","0.3988","0.4006","0.3855","","-1.96%"
"01/07/2017","0.3975","0.3943","0.3994","0.3882","","0.86%"
"01/06/2017","0.3941","0.3913","0.3957","0.3823","","0.87%"
"01/05/2017","0.3907","0.3941","0.3968","0.3875","","-0.74%"
"01/04/2017","0.3936","0.3825","0.3950","0.3769","","2.90%"
"01/03/2017","0.3825","0.3781","0.3840","0.3701","","1.27%"
"01/02/2017","0.3777","0.3837","0.3881","0.3764","","-1.44%"
"01/01/2017","0.3832","0.3773","0.3874","0.3659","","1.73%"
"01/12/2016","0.3767","0.3816","0.3893","0.3733","","-1.10%"
"01/11/2016","0.3809","0.3711","0.3846","0.3697","","2.70%"
"01/10/2016","0.3709","0.3902","0.3905","0.3568","","-5.02%"
"01/09/2016","0.3905","0.3972","0.4060","0.3893","","-1.54%"
"01/08/2016","0.3966","0.3992","0.4031","0.3880","","-0.63%"
"01/07/2016","0.3991","0.4015","0.4074","0.3860","","-0.52%"
"01/06/2016","0.4012","0.4375","0.4517","0.3965","","-8.19%"
"01/05/2016","0.4370","0.4394","0.4453","0.4320","","-0.82%"
"01/04/2016","0.4406","0.4333","0.4423","0.4229","","1.78%"
"01/03/2016","0.4329","0.4189","0.4369","0.4179","","3.44%"
"01/02/2016","0.4185","0.4321","0.4425","0.4159","","-3.19%"
"01/01/2016","0.4323","0.4473","0.4497","0.4286","","-3.29%"
"01/12/2015","0.4470","0.4588","0.4624","0.4469","","-2.51%"
"01/11/2015","0.4585","0.4672","0.4694","0.4555","","-1.95%"
"01/10/2015","0.4676","0.4570","0.4688","0.4566","","2.30%"
"01/09/2015","0.4571","0.4638","0.4722","0.4565","","-1.36%"
"01/08/2015","0.4634","0.4735","0.4776","0.4629","","-1.82%"
"01/07/2015","0.4720","0.4752","0.4757","0.4636","","-0.57%"
"01/06/2015","0.4747","0.4630","0.4807","0.4594","","2.50%"
"01/05/2015","0.4631","0.4630","0.4761","0.4551","","0.09%"
"01/04/2015","0.4627","0.4457","0.4669","0.4403","","3.93%"
"01/03/2015","0.4452","0.4570","0.4578","0.4391","","-2.45%"
"01/02/2015","0.4564","0.4448","0.4605","0.4421","","2.65%"
"01/01/2015","0.4446","0.4563","0.4566","0.4411","","-2.46%"
"01/12/2014","0.4558","0.4559","0.4603","0.4533","","0.09%"
"01/11/2014","0.4554","0.4642","0.4653","0.4538","","-1.81%"
"01/10/2014","0.4638","0.4672","0.4688","0.4577","","-0.69%"
"01/09/2014","0.4670","0.4725","0.4744","0.4602","","-1.10%"
"01/08/2014","0.4722","0.4783","0.4787","0.4699","","-1.21%"
"01/07/2014","0.4780","0.4816","0.4850","0.4771","","-0.67%"
"01/06/2014","0.4812","0.4726","0.4825","0.4708","","1.97%"
"01/05/2014","0.4719","0.4743","0.4789","0.4699","","-0.46%"
"01/04/2014","0.4741","0.4692","0.4757","0.4663","","1.11%"
"01/03/2014","0.4689","0.4712","0.4727","0.4631","","-0.36%"
"01/02/2014","0.4706","0.4652","0.4741","0.4594","","1.44%"
"01/01/2014","0.4639","0.4676","0.4715","0.4608","","-0.75%"
