"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2021","556.989","545.113","558.501","539.813","","2.27%"
"01/11/2021","544.616","561.407","565.933","540.829","","-2.99%"
"01/10/2021","561.413","553.430","570.320","551.848","","1.69%"
"01/09/2021","552.083","565.936","571.704","549.550","","-2.34%"
"01/08/2021","565.289","572.026","574.392","560.110","","-1.06%"
"01/07/2021","571.331","569.063","575.462","558.467","","0.54%"
"01/06/2021","568.290","586.997","588.936","565.895","","-2.57%"
"01/05/2021","583.279","526.878","587.876","525.849","","10.95%"
"01/04/2021","525.692","525.144","534.109","520.838","","0.25%"
"01/03/2021","524.360","531.188","534.137","520.729","","-1.11%"
"01/02/2021","530.224","522.740","542.572","517.223","","1.67%"
"01/01/2021","521.521","521.196","524.572","512.732","","0.19%"
