"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","2,032.950","2,134.923","2,136.177","1,990.248","","-4.78%"
"01/07/2024","2,134.923","1,933.915","2,142.708","1,855.393","","10.39%"
"01/06/2024","1,933.915","1,895.182","1,951.530","1,869.827","","2.30%"
"01/05/2024","1,890.468","1,735.971","1,958.303","1,520.198","","8.96%"
"01/04/2024","1,735.000","1,647.512","1,819.470","1,237.000","","5.49%"
"01/03/2024","1,644.647","2,042.157","2,145.438","1,609.944","","-19.40%"
"01/02/2024","2,040.571","1,513.543","2,121.191","1,148.318","","34.96%"
"01/01/2024","1,511.976","1,122.913","1,519.806","1,075.324","","34.82%"
"01/12/2023","1,121.463","997.927","1,159.222","986.994","","12.47%"
"01/11/2023","997.138","955.952","1,058.384","951.351","","4.53%"
"01/10/2023","953.932","938.928","1,085.822","904.402","","1.84%"
"01/09/2023","936.730","980.334","989.125","919.487","","-4.38%"
"01/08/2023","979.623","976.278","1,007.252","932.030","","0.57%"
"01/07/2023","974.048","964.555","1,044.987","957.767","","1.05%"
"01/06/2023","963.941","573.609","981.964","570.490","","68.27%"
"01/05/2023","572.848","578.650","584.628","567.142","","-0.85%"
"01/04/2023","577.768","567.576","579.502","565.021","","1.88%"
"01/03/2023","567.121","553.554","571.962","543.539","","2.58%"
"01/02/2023","552.884","567.315","571.114","548.722","","-2.45%"
"01/01/2023","566.745","542.065","572.217","532.244","","4.67%"
"01/12/2022","541.438","535.214","558.868","534.355","","1.28%"
"01/11/2022","534.611","502.809","539.014","489.565","","6.46%"
"01/10/2022","502.170","482.547","510.275","468.291","","4.19%"
"01/09/2022","481.967","490.351","509.775","447.083","","-1.58%"
