"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","0.4909","0.4916","0.4944","0.4802","","0.00%"
"01/11/2018","0.4909","0.4915","0.5073","0.4897","","-0.12%"
"01/10/2018","0.4914","0.5017","0.5105","0.4887","","-2.01%"
"01/09/2018","0.5015","0.4993","0.5120","0.4922","","0.51%"
"01/08/2018","0.4990","0.5054","0.5062","0.4873","","-1.25%"
"01/07/2018","0.5053","0.5074","0.5145","0.4988","","-0.62%"
"01/06/2018","0.5084","0.5121","0.5187","0.5024","","-0.68%"
"01/05/2018","0.5119","0.5298","0.5303","0.5083","","-3.42%"
"01/04/2018","0.5300","0.5403","0.5536","0.5279","","-1.76%"
"01/03/2018","0.5395","0.5298","0.5485","0.5279","","1.94%"
"01/02/2018","0.5292","0.5464","0.5498","0.5296","","-3.11%"
"01/01/2018","0.5462","0.5204","0.5523","0.5181","","5.10%"
"01/12/2017","0.5197","0.5207","0.5219","0.5118","","-0.06%"
"01/11/2017","0.5200","0.5113","0.5217","0.5020","","1.82%"
"01/10/2017","0.5107","0.5155","0.5175","0.5014","","-0.85%"
"01/09/2017","0.5151","0.4979","0.5258","0.4967","","3.61%"
"01/08/2017","0.4972","0.5088","0.5110","0.4915","","-2.03%"
"01/07/2017","0.5075","0.5011","0.5092","0.4928","","1.28%"
"01/06/2017","0.5010","0.4969","0.5021","0.4847","","1.08%"
"01/05/2017","0.4957","0.4987","0.5028","0.4915","","-0.44%"
"01/04/2017","0.4979","0.4828","0.4993","0.4758","","3.13%"
"01/03/2017","0.4828","0.4771","0.4858","0.4661","","1.39%"
"01/02/2017","0.4762","0.4843","0.4892","0.4753","","-1.56%"
"01/01/2017","0.4837","0.4754","0.4880","0.4613","","1.95%"
"01/12/2016","0.4744","0.4815","0.4919","0.4697","","-1.35%"
"01/11/2016","0.4809","0.4712","0.4880","0.4698","","2.14%"
"01/10/2016","0.4708","0.4984","0.4988","0.4551","","-5.65%"
"01/09/2016","0.4990","0.5059","0.5178","0.4970","","-1.33%"
"01/08/2016","0.5058","0.5096","0.5149","0.4951","","-0.56%"
"01/07/2016","0.5086","0.5123","0.5191","0.4928","","-0.63%"
"01/06/2016","0.5119","0.5572","0.5783","0.5051","","-8.07%"
"01/05/2016","0.5568","0.5626","0.5687","0.5517","","-0.91%"
"01/04/2016","0.5619","0.5529","0.5650","0.5392","","1.76%"
"01/03/2016","0.5522","0.5358","0.5590","0.5352","","3.19%"
"01/02/2016","0.5351","0.5482","0.5649","0.5325","","-2.32%"
"01/01/2016","0.5479","0.5673","0.5704","0.5421","","-3.36%"
"01/12/2015","0.5669","0.5797","0.5868","0.5669","","-2.09%"
"01/11/2015","0.5790","0.5948","0.5967","0.5772","","-2.49%"
"01/10/2015","0.5938","0.5826","0.5975","0.5818","","1.98%"
"01/09/2015","0.5822","0.5910","0.6029","0.5819","","-1.43%"
"01/08/2015","0.5907","0.6016","0.6095","0.5904","","-1.75%"
"01/07/2015","0.6012","0.6048","0.6058","0.5902","","-0.56%"
"01/06/2015","0.6045","0.5889","0.6133","0.5841","","2.73%"
"01/05/2015","0.5884","0.5911","0.6088","0.5809","","-0.37%"
"01/04/2015","0.5906","0.5705","0.5967","0.5606","","3.54%"
"01/03/2015","0.5704","0.5942","0.5947","0.5634","","-3.87%"
"01/02/2015","0.5934","0.5802","0.5991","0.5770","","2.30%"
"01/01/2015","0.5801","0.5998","0.6002","0.5756","","-3.25%"
"01/12/2014","0.5996","0.6025","0.6078","0.5962","","-0.47%"
"01/11/2014","0.6024","0.6159","0.6169","0.6002","","-2.18%"
"01/10/2014","0.6158","0.6243","0.6257","0.6111","","-1.34%"
"01/09/2014","0.6242","0.6389","0.6409","0.6180","","-2.32%"
"01/08/2014","0.6390","0.6501","0.6505","0.6363","","-1.70%"
"01/07/2014","0.6500","0.6586","0.6620","0.6490","","-1.28%"
"01/06/2014","0.6585","0.6455","0.6590","0.6422","","2.11%"
"01/05/2014","0.6449","0.6496","0.6545","0.6424","","-0.71%"
"01/04/2014","0.6495","0.6414","0.6507","0.6371","","1.26%"
"01/03/2014","0.6414","0.6448","0.6465","0.6337","","-0.50%"
"01/02/2014","0.6446","0.6332","0.6477","0.6255","","1.92%"
"01/01/2014","0.6325","0.6375","0.6418","0.6279","","-0.77%"
