"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","354.552","347.667","356.224","346.721","","2.06%"
"01/04/2024","347.412","351.142","353.517","342.253","","-0.81%"
"01/03/2024","350.260","352.553","359.996","348.413","","-0.47%"
"01/02/2024","351.929","354.704","357.934","346.721","","-0.60%"
"01/01/2024","354.064","357.900","359.787","349.374","","-1.00%"
"01/12/2023","357.647","360.731","363.406","351.252","","-0.67%"
"01/11/2023","360.043","342.447","363.964","336.510","","5.22%"
"01/10/2023","342.188","352.304","352.593","330.402","","-2.69%"
"01/09/2023","351.639","388.458","389.351","344.507","","-9.32%"
"01/08/2023","387.794","368.126","389.960","358.135","","5.55%"
"01/07/2023","367.402","363.483","372.725","343.723","","1.12%"
"01/06/2023","363.334","354.664","369.050","350.117","","2.67%"
"01/05/2023","353.895","356.575","375.670","346.802","","-0.53%"
"01/04/2023","355.790","349.985","361.683","344.021","","1.79%"
"01/03/2023","349.530","314.362","352.469","312.872","","11.41%"
"01/02/2023","313.722","330.149","337.649","307.963","","-4.81%"
"01/01/2023","329.560","274.129","333.892","269.280","","20.33%"
"01/12/2022","273.876","270.959","279.913","270.128","","1.19%"
"01/11/2022","270.657","252.781","272.819","247.061","","7.27%"
"01/10/2022","252.318","254.571","263.707","237.204","","-0.68%"
"01/09/2022","254.057","254.224","275.202","244.149","","0.16%"
"01/08/2022","253.650","292.070","295.253","252.989","","-13.01%"
"01/07/2022","291.570","249.182","293.622","244.703","","17.11%"
"01/06/2022","248.979","250.946","261.609","245.767","","-0.55%"
"01/05/2022","250.362","233.741","256.675","228.280","","7.42%"
"01/04/2022","233.066","241.993","247.487","230.435","","-3.24%"
"01/03/2022","240.878","238.391","242.721","231.210","","1.27%"
"01/02/2022","237.852","237.736","240.610","234.574","","0.33%"
"01/01/2022","237.062","238.416","242.651","235.780","","-0.33%"
