"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2021","237.840","234.156","241.370","231.511","","1.81%"
"01/11/2021","233.620","234.929","237.007","227.965","","0.15%"
"01/10/2021","233.267","230.371","242.449","227.959","","1.55%"
"01/09/2021","229.698","229.503","235.007","228.088","","0.45%"
"01/08/2021","228.660","225.718","230.413","223.019","","1.70%"
"01/07/2021","224.849","218.574","227.414","216.098","","3.23%"
"01/06/2021","217.817","218.106","222.356","215.279","","0.51%"
"01/05/2021","216.716","211.761","221.028","210.571","","2.55%"
"01/04/2021","211.327","210.333","216.177","208.265","","0.69%"
"01/03/2021","209.882","220.863","222.579","207.446","","-4.92%"
"01/02/2021","220.753","219.820","226.255","216.986","","0.97%"
"01/01/2021","218.636","219.273","222.429","215.466","","0.10%"
"01/12/2020","218.426","212.246","223.653","210.408","","3.26%"
"01/11/2020","211.538","207.719","215.980","205.605","","2.16%"
"01/10/2020","207.056","214.116","215.475","206.628","","-3.09%"
"01/09/2020","213.664","221.209","223.416","209.775","","-2.90%"
"01/08/2020","220.040","219.495","223.951","216.426","","0.54%"
"01/07/2020","218.852","207.841","220.438","206.682","","5.57%"
"01/06/2020","207.311","200.509","211.441","200.241","","3.67%"
"01/05/2020","199.973","202.214","203.422","190.306","","-0.74%"
"01/04/2020","201.472","206.757","211.024","195.443","","-2.12%"
"01/03/2020","205.828","197.331","207.667","180.810","","4.49%"
"01/02/2020","196.979","204.195","204.195","196.195","","-2.93%"
"01/01/2020","202.921","205.546","205.803","200.027","","-1.00%"
"01/12/2019","204.975","200.867","209.087","199.093","","2.15%"
"01/11/2019","200.656","201.023","207.521","195.258","","0.07%"
"01/10/2019","200.505","192.638","203.903","190.231","","4.58%"
"01/09/2019","191.724","190.747","200.727","186.927","","0.59%"
"01/08/2019","190.606","195.141","197.290","189.154","","-2.36%"
"01/07/2019","195.213","207.087","207.733","190.076","","-5.36%"
"01/06/2019","206.261","185.693","208.889","185.113","","11.37%"
"01/05/2019","185.200","184.613","195.109","180.437","","0.58%"
"01/04/2019","184.128","183.568","186.943","180.871","","0.50%"
"01/03/2019","183.216","185.456","187.354","178.640","","-1.22%"
"01/02/2019","185.470","182.616","186.674","176.383","","1.56%"
"01/01/2019","182.616","178.406","184.887","170.819","","2.38%"
