"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","4.7779","4.6883","4.8003","4.6709","","1.99%"
"01/04/2024","4.6847","4.7347","4.7677","4.6129","","-1.04%"
"01/03/2024","4.7338","4.7347","4.8364","4.7154","","0.00%"
"01/02/2024","4.7339","4.7579","4.7905","4.6941","","-0.48%"
"01/01/2024","4.7569","4.7741","4.7969","4.7237","","-0.34%"
"01/12/2023","4.7731","4.7359","4.8113","4.6884","","0.80%"
"01/11/2023","4.7350","4.5595","4.7765","4.5374","","3.87%"
"01/10/2023","4.5588","4.5753","4.6283","4.5146","","-0.34%"
"01/09/2023","4.5742","4.7536","4.7684","4.5424","","-3.76%"
"01/08/2023","4.7530","4.8167","4.8182","4.7067","","-1.29%"
"01/07/2023","4.8151","4.7583","4.9321","4.7479","","1.12%"
"01/06/2023","4.7618","4.6660","4.8190","4.6381","","2.08%"
"01/05/2023","4.6647","4.7161","4.7557","4.6153","","-0.98%"
"01/04/2023","4.7111","4.6282","4.7203","4.6059","","1.77%"
"01/03/2023","4.6291","4.5113","4.6638","4.4314","","2.63%"
"01/02/2023","4.5105","4.6233","4.6538","4.4688","","-2.44%"
"01/01/2023","4.6234","4.5483","4.6761","4.4500","","1.73%"
"01/12/2022","4.5448","4.5328","4.6803","4.5085","","0.28%"
"01/11/2022","4.5319","4.3098","4.5676","4.1892","","5.18%"
"01/10/2022","4.3087","4.1953","4.3776","4.1062","","2.79%"
"01/09/2022","4.1917","4.3692","4.4129","3.9070","","-4.03%"
"01/08/2022","4.3675","4.5701","4.6176","4.3597","","-4.42%"
"01/07/2022","4.5693","4.5691","4.6000","4.4143","","0.03%"
"01/06/2022","4.5679","4.7271","4.7324","4.4773","","-3.34%"
"01/05/2022","4.7255","4.7164","4.7522","4.5595","","0.22%"
"01/04/2022","4.7150","4.9285","4.9399","4.6547","","-4.30%"
"01/03/2022","4.9271","5.0352","5.0424","4.8767","","-2.13%"
"01/02/2022","5.0343","5.0452","5.1199","4.9792","","-0.20%"
"01/01/2022","5.0443","5.0800","5.1609","5.0114","","-0.67%"
"01/12/2021","5.0785","4.9893","5.0876","4.9393","","1.82%"
"01/11/2021","4.9876","5.1322","5.1388","4.9500","","-2.87%"
"01/10/2021","5.1352","5.0529","5.1897","5.0386","","1.64%"
"01/09/2021","5.0525","5.1583","5.2187","5.0305","","-2.06%"
"01/08/2021","5.1586","5.2116","5.2347","5.1010","","-1.04%"
"01/07/2021","5.2130","5.1867","5.2449","5.0903","","0.52%"
"01/06/2021","5.1858","5.3303","5.3451","5.1698","","-2.68%"
"01/05/2021","5.3287","5.1859","5.3382","5.1754","","2.87%"
"01/04/2021","5.1801","5.1684","5.2547","5.1267","","0.25%"
"01/03/2021","5.1673","5.2278","5.2586","5.1265","","-1.10%"
"01/02/2021","5.2246","5.1438","5.3404","5.0888","","1.69%"
"01/01/2021","5.1377","5.1294","5.1617","5.0465","","0.16%"
"01/12/2020","5.1294","4.9975","5.1348","4.9266","","2.68%"
"01/11/2020","4.9956","4.8552","5.0255","4.8204","","2.94%"
"01/10/2020","4.8530","4.8454","4.9424","4.8080","","0.16%"
"01/09/2020","4.8453","5.0131","5.0571","4.7538","","-3.36%"
"01/08/2020","5.0139","4.9064","5.0241","4.8684","","2.19%"
"01/07/2020","4.9065","4.6516","4.9397","4.6357","","5.51%"
"01/06/2020","4.6504","4.6333","4.8095","4.5957","","0.30%"
"01/05/2020","4.6364","4.7340","4.7354","4.5371","","-1.96%"
"01/04/2020","4.7289","4.6796","4.7548","4.5743","","1.20%"
"01/03/2020","4.6729","4.8022","4.9534","4.2906","","-2.84%"
"01/02/2020","4.8093","4.9537","4.9585","4.7740","","-2.87%"
"01/01/2020","4.9515","4.9746","4.9802","4.8593","","-0.50%"
"01/12/2019","4.9762","4.8439","5.0690","4.8358","","2.61%"
"01/11/2019","4.8496","4.8529","4.8700","4.7884","","-0.07%"
"01/10/2019","4.8528","4.6101","4.8811","4.5737","","5.26%"
"01/09/2019","4.6101","4.5566","4.7198","4.4850","","1.13%"
"01/08/2019","4.5585","4.5586","4.6167","4.5074","","-0.02%"
"01/07/2019","4.5595","4.7611","4.7657","4.5453","","-4.20%"
"01/06/2019","4.7596","4.7353","4.7948","4.6899","","0.47%"
"01/05/2019","4.7372","4.8879","4.9451","4.7096","","-3.06%"
"01/04/2019","4.8866","4.8896","4.9498","4.8245","","-0.01%"
"01/03/2019","4.8870","4.9737","5.0198","4.8559","","-1.73%"
"01/02/2019","4.9729","4.9168","5.0070","4.7899","","1.17%"
"01/01/2019","4.9154","4.7865","4.9573","4.6660","","2.73%"
