"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","4.7850","4.7906","4.8176","4.6810","","0.00%"
"01/11/2018","4.7852","4.7887","4.9425","4.7738","","-0.07%"
"01/10/2018","4.7884","4.8871","4.9737","4.7621","","-1.99%"
"01/09/2018","4.8856","4.8650","4.9879","4.7952","","0.51%"
"01/08/2018","4.8609","4.9232","4.9302","4.7488","","-1.24%"
"01/07/2018","4.9218","4.9436","5.0118","4.8593","","-0.63%"
"01/06/2018","4.9530","4.9882","5.0525","4.8940","","-0.68%"
"01/05/2018","4.9870","5.1606","5.1658","4.9520","","-3.42%"
"01/04/2018","5.1634","5.2624","5.3923","5.1424","","-1.75%"
"01/03/2018","5.2553","5.1607","5.3422","5.1424","","1.85%"
"01/02/2018","5.1599","5.3225","5.3548","5.1592","","-3.03%"
"01/01/2018","5.3214","5.0682","5.3801","5.0468","","5.02%"
"01/12/2017","5.0670","5.0723","5.0820","4.9886","","-0.10%"
"01/11/2017","5.0720","4.9810","5.0813","4.8899","","1.83%"
"01/10/2017","4.9809","5.0212","5.0268","4.8850","","-0.85%"
"01/09/2017","5.0234","4.8498","5.1217","4.8394","","3.61%"
"01/08/2017","4.8486","4.9560","4.9754","4.7898","","-2.15%"
"01/07/2017","4.9550","4.8810","4.9596","4.8039","","1.45%"
"01/06/2017","4.8841","4.8344","4.8871","4.7210","","1.06%"
"01/05/2017","4.8330","4.8576","4.8939","4.7885","","-0.44%"
"01/04/2017","4.8545","4.7031","4.8632","4.6366","","3.13%"
"01/03/2017","4.7071","4.6429","4.7314","4.5410","","1.42%"
"01/02/2017","4.6411","4.7186","4.7660","4.6295","","-1.57%"
"01/01/2017","4.7152","4.6304","4.7538","4.4942","","1.91%"
"01/12/2016","4.6269","4.6904","4.7923","4.5760","","-1.32%"
"01/11/2016","4.6887","4.5912","4.7538","4.5774","","2.13%"
"01/10/2016","4.5910","4.8565","4.8589","4.4334","","-5.66%"
"01/09/2016","4.8663","4.9281","5.0434","4.8436","","-1.20%"
"01/08/2016","4.9252","4.9641","5.0154","4.8246","","-0.68%"
"01/07/2016","4.9588","4.9929","5.0563","4.8014","","-0.61%"
"01/06/2016","4.9894","5.4293","5.6341","4.9205","","-8.09%"
"01/05/2016","5.4286","5.4791","5.5398","5.3745","","-0.89%"
"01/04/2016","5.4774","5.3859","5.5023","5.2522","","1.75%"
"01/03/2016","5.3831","5.2200","5.4440","5.2139","","3.18%"
"01/02/2016","5.2174","5.3421","5.5022","5.1884","","-2.33%"
"01/01/2016","5.3419","5.5297","5.5588","5.2857","","-3.40%"
"01/12/2015","5.5297","5.6494","5.7185","5.5250","","-2.09%"
"01/11/2015","5.6477","5.7937","5.8124","5.6272","","-2.39%"
"01/10/2015","5.7860","5.6736","5.8170","5.6657","","2.00%"
"01/09/2015","5.6726","5.7547","5.8738","5.6657","","-1.40%"
"01/08/2015","5.7533","5.8604","5.9346","5.7518","","-1.79%"
"01/07/2015","5.8579","5.8922","5.9015","5.7484","","-0.54%"
"01/06/2015","5.8900","5.7344","5.9745","5.6892","","2.74%"
"01/05/2015","5.7328","5.7572","5.9312","5.6585","","-0.37%"
"01/04/2015","5.7543","5.5582","5.8119","5.4635","","3.54%"
"01/03/2015","5.5573","5.7884","5.7937","5.4886","","-3.97%"
"01/02/2015","5.7870","5.6711","5.8337","5.6280","","2.18%"
"01/01/2015","5.6633","5.8454","5.8488","5.6158","","-3.08%"
"01/12/2014","5.8433","5.8737","5.9250","5.8122","","-0.48%"
"01/11/2014","5.8716","5.9920","6.0124","5.8490","","-2.15%"
"01/10/2014","6.0007","6.0824","6.0972","5.9547","","-1.33%"
"01/09/2014","6.0814","6.2237","6.2430","6.0201","","-2.30%"
"01/08/2014","6.2245","6.3332","6.3362","6.1978","","-1.70%"
"01/07/2014","6.3322","6.4154","6.4476","6.3218","","-1.28%"
"01/06/2014","6.4143","6.2874","6.4195","6.2625","","2.10%"
"01/05/2014","6.2821","6.3280","6.3752","6.2608","","-0.71%"
"01/04/2014","6.3269","6.2484","6.3389","6.2081","","1.25%"
"01/03/2014","6.2487","6.2805","6.2958","6.1729","","-0.48%"
"01/02/2014","6.2790","6.1679","6.3094","6.0948","","1.89%"
"01/01/2014","6.1623","6.2098","6.2513","6.1167","","-0.75%"
