"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","46.841","46.473","46.988","45.558","","0.97%"
"01/04/2024","46.392","45.951","46.579","45.391","","1.06%"
"01/03/2024","45.906","45.312","46.193","45.245","","1.36%"
"01/02/2024","45.291","45.117","45.806","44.641","","0.49%"
"01/01/2024","45.070","43.763","45.572","43.158","","3.08%"
"01/12/2023","43.724","44.588","44.973","43.479","","-1.89%"
"01/11/2023","44.568","43.898","44.680","43.458","","1.48%"
"01/10/2023","43.917","44.558","45.328","43.492","","-1.38%"
"01/09/2023","44.531","44.366","45.024","43.961","","0.45%"
"01/08/2023","44.330","43.935","45.327","43.588","","0.96%"
"01/07/2023","43.909","44.759","45.543","43.701","","-2.00%"
"01/06/2023","44.807","43.142","45.306","43.032","","4.00%"
"01/05/2023","43.082","42.889","43.218","41.942","","0.55%"
"01/04/2023","42.846","42.148","42.988","42.074","","1.70%"
"01/03/2023","42.130","42.352","42.509","41.316","","-0.48%"
"01/02/2023","42.334","40.468","42.855","40.162","","4.63%"
"01/01/2023","40.459","41.882","41.882","40.103","","-3.37%"
"01/12/2022","41.868","42.341","43.255","41.479","","-1.09%"
"01/11/2022","42.329","43.657","43.716","41.741","","-3.00%"
"01/10/2022","43.640","42.220","44.242","41.556","","3.53%"
"01/09/2022","42.151","42.488","42.628","39.137","","-0.69%"
"01/08/2022","42.444","44.144","44.412","42.166","","-3.86%"
"01/07/2022","44.150","42.999","44.737","42.732","","2.73%"
"01/06/2022","42.978","43.257","43.744","41.803","","-0.56%"
"01/05/2022","43.218","43.111","43.336","42.136","","0.41%"
"01/04/2022","43.043","43.735","44.321","42.779","","-1.53%"
"01/03/2022","43.710","43.860","44.686","43.132","","-0.30%"
"01/02/2022","43.840","44.684","45.175","43.209","","-1.84%"
"01/01/2022","44.664","44.977","45.838","44.401","","-0.65%"
"01/12/2021","44.957","44.844","45.232","44.030","","0.31%"
"01/11/2021","44.817","45.563","45.799","43.703","","-1.67%"
"01/10/2021","45.577","45.374","46.259","45.110","","0.48%"
"01/09/2021","45.360","44.326","46.186","44.243","","2.36%"
"01/08/2021","44.315","45.735","46.528","44.315","","-3.07%"
"01/07/2021","45.720","44.294","45.973","44.098","","3.27%"
"01/06/2021","44.274","44.345","44.681","43.415","","-0.10%"
"01/05/2021","44.318","43.071","44.722","43.021","","3.02%"
"01/04/2021","43.017","43.068","43.850","42.860","","-0.07%"
"01/03/2021","43.046","42.458","43.182","41.974","","1.40%"
"01/02/2021","42.451","40.960","42.769","40.775","","3.78%"
"01/01/2021","40.905","41.086","41.262","40.500","","-0.41%"
"01/12/2020","41.074","40.360","41.095","39.528","","1.83%"
"01/11/2020","40.336","40.340","40.745","39.597","","0.09%"
"01/10/2020","40.298","40.821","41.129","40.104","","-1.25%"
"01/09/2020","40.808","41.543","41.910","39.898","","-1.76%"
"01/08/2020","41.537","40.918","41.734","40.395","","1.60%"
"01/07/2020","40.884","38.332","41.140","38.250","","6.71%"
"01/06/2020","38.313","39.287","40.122","37.849","","-2.43%"
"01/05/2020","39.266","40.896","40.908","38.724","","-3.90%"
"01/04/2020","40.861","40.705","41.268","39.766","","0.50%"
"01/03/2020","40.657","40.333","41.684","37.188","","0.65%"
"01/02/2020","40.396","41.249","41.493","40.029","","-1.91%"
"01/01/2020","41.181","39.478","41.273","39.147","","4.30%"
"01/12/2019","39.483","39.004","40.779","38.917","","1.12%"
"01/11/2019","39.045","39.066","39.277","38.721","","-0.02%"
"01/10/2019","39.053","37.606","39.404","36.964","","3.88%"
"01/09/2019","37.595","37.189","38.358","36.657","","1.07%"
"01/08/2019","37.197","37.320","37.796","36.978","","-0.33%"
"01/07/2019","37.322","38.961","38.992","37.259","","-4.16%"
"01/06/2019","38.942","39.750","40.022","38.849","","-2.20%"
"01/05/2019","39.819","41.576","42.170","39.736","","-4.18%"
"01/04/2019","41.556","41.342","41.930","41.180","","0.54%"
"01/03/2019","41.334","41.882","42.339","41.060","","-1.27%"
"01/02/2019","41.865","40.915","42.028","39.989","","2.37%"
"01/01/2019","40.894","41.271","41.694","40.126","","-0.85%"
