"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","41.243","42.097","42.160","40.892","","-1.90%"
"01/11/2018","42.040","42.281","43.283","41.866","","-0.54%"
"01/10/2018","42.268","42.092","43.740","41.895","","0.38%"
"01/09/2018","42.106","42.443","43.063","41.962","","-0.86%"
"01/08/2018","42.473","43.583","43.708","41.808","","-2.49%"
"01/07/2018","43.559","43.486","44.277","43.361","","-0.12%"
"01/06/2018","43.610","42.641","43.889","42.458","","2.32%"
"01/05/2018","42.620","43.423","43.675","42.351","","-1.86%"
"01/04/2018","43.427","43.754","44.855","43.289","","-0.59%"
"01/03/2018","43.685","43.332","44.447","43.223","","0.86%"
"01/02/2018","43.313","44.478","44.779","43.306","","-2.60%"
"01/01/2018","44.471","43.977","45.016","43.089","","1.11%"
"01/12/2017","43.982","44.159","44.282","43.226","","-0.37%"
"01/11/2017","44.146","44.136","44.200","43.046","","0.05%"
"01/10/2017","44.123","44.562","44.719","43.370","","-1.15%"
"01/09/2017","44.635","42.907","45.158","42.775","","4.08%"
"01/08/2017","42.885","44.007","44.165","42.559","","-2.51%"
"01/07/2017","43.989","44.147","44.300","43.340","","-0.43%"
"01/06/2017","44.181","43.884","44.333","42.815","","0.74%"
"01/05/2017","43.858","44.803","45.186","43.465","","-2.03%"
"01/04/2017","44.767","43.078","44.870","42.755","","3.85%"
"01/03/2017","43.107","43.259","43.447","42.650","","-0.31%"
"01/02/2017","43.243","44.139","44.592","43.171","","-2.02%"
"01/01/2017","44.133","44.220","44.669","42.403","","-0.18%"
"01/12/2016","44.212","44.653","45.503","43.868","","-0.93%"
"01/11/2016","44.627","42.883","44.782","42.738","","4.10%"
"01/10/2016","42.871","44.790","44.858","41.204","","-4.45%"
"01/09/2016","44.868","45.504","46.581","44.703","","-1.35%"
"01/08/2016","45.480","46.049","46.758","44.498","","-1.07%"
"01/07/2016","45.970","46.749","47.221","45.122","","-1.62%"
"01/06/2016","46.728","51.788","52.784","46.373","","-9.74%"
"01/05/2016","51.770","51.033","52.614","50.485","","1.55%"
"01/04/2016","50.978","50.422","51.451","49.339","","1.15%"
"01/03/2016","50.397","49.597","50.924","49.264","","1.71%"
"01/02/2016","49.551","50.863","52.370","49.306","","-2.59%"
"01/01/2016","50.869","53.094","53.558","50.465","","-4.18%"
"01/12/2015","53.086","53.902","55.138","53.017","","-1.47%"
"01/11/2015","53.878","54.972","55.203","53.569","","-1.88%"
"01/10/2015","54.908","55.022","55.745","54.076","","-0.17%"
"01/09/2015","55.002","54.975","55.886","54.440","","0.09%"
"01/08/2015","54.955","54.661","56.458","54.263","","0.54%"
"01/07/2015","54.661","53.102","55.069","51.994","","3.00%"
"01/06/2015","53.067","51.483","53.641","51.109","","3.03%"
"01/05/2015","51.505","50.690","53.111","50.112","","1.65%"
"01/04/2015","50.667","48.216","51.021","47.445","","5.13%"
"01/03/2015","48.196","50.007","50.085","48.006","","-3.46%"
"01/02/2015","49.923","49.331","50.604","48.793","","1.27%"
"01/01/2015","49.296","51.265","51.361","48.706","","-3.78%"
"01/12/2014","51.235","51.530","52.034","50.938","","-0.32%"
"01/11/2014","51.397","52.087","52.538","51.143","","-1.37%"
"01/10/2014","52.112","52.580","52.731","51.481","","-0.85%"
"01/09/2014","52.559","53.006","53.353","51.528","","-0.79%"
"01/08/2014","52.978","54.357","54.516","52.739","","-2.49%"
"01/07/2014","54.333","55.488","55.695","53.870","","-1.98%"
"01/06/2014","55.431","55.042","55.547","54.304","","0.86%"
"01/05/2014","54.957","54.591","55.209","54.201","","0.73%"
"01/04/2014","54.558","54.023","54.736","53.730","","1.09%"
"01/03/2014","53.968","54.470","54.653","53.088","","-0.88%"
"01/02/2014","54.448","54.290","54.704","53.238","","0.38%"
"01/01/2014","54.242","54.143","54.801","53.363","","0.25%"
