"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","41.0606","40.4838","41.4391","40.1018","","1.46%"
"01/04/2024","40.4717","40.8347","41.4644","39.7108","","-0.87%"
"01/03/2024","40.8271","39.4278","41.8285","39.3335","","3.70%"
"01/02/2024","39.3690","38.4966","39.8305","38.0326","","2.38%"
"01/01/2024","38.4547","37.5312","39.0549","37.2854","","2.49%"
"01/12/2023","37.5208","36.4508","37.9319","36.1068","","3.02%"
"01/11/2023","36.4205","34.4094","36.9071","34.0191","","6.00%"
"01/10/2023","34.3600","33.4318","34.7177","33.0030","","2.92%"
"01/09/2023","33.3850","33.8333","34.2599","32.6272","","-1.15%"
"01/08/2023","33.7738","34.5700","35.0930","31.7997","","-2.21%"
"01/07/2023","34.5355","33.0510","35.5960","32.5924","","4.37%"
"01/06/2023","33.0890","25.8744","33.4333","25.6068","","27.93%"
"01/05/2023","25.8656","24.4470","25.9459","24.0934","","5.89%"
"01/04/2023","24.4278","23.6663","24.5876","23.4436","","3.39%"
"01/03/2023","23.6278","22.7026","23.9074","22.2461","","4.14%"
"01/02/2023","22.6891","23.1738","23.4292","22.3650","","-2.07%"
"01/01/2023","23.1695","22.6182","23.5007","22.1145","","2.49%"
"01/12/2022","22.6072","22.4388","23.2826","22.3036","","0.87%"
"01/11/2022","22.4115","21.3522","22.6969","20.7035","","5.10%"
"01/10/2022","21.3232","20.6380","21.7482","20.2639","","3.28%"
"01/09/2022","20.6460","21.1513","21.4932","19.1325","","-2.32%"
"01/08/2022","21.1367","21.7901","22.1218","21.0503","","-3.00%"
"01/07/2022","21.7910","20.3365","22.0690","20.0485","","7.22%"
"01/06/2022","20.3241","20.6749","21.7100","19.6539","","-1.49%"
"01/05/2022","20.6322","18.6660","20.8284","18.1879","","10.58%"
"01/04/2022","18.6574","19.2778","19.4329","18.3116","","-3.17%"
"01/03/2022","19.2676","18.5606","19.7834","18.3360","","3.71%"
"01/02/2022","18.5777","17.9125","19.7585","17.7462","","3.83%"
"01/01/2022","17.8918","18.0248","19.0586","17.1012","","-0.69%"
"01/12/2021","18.0154","17.9247","24.2691","13.6259","","0.57%"
"01/11/2021","17.9126","13.1451","18.2960","12.9031","","36.24%"
"01/10/2021","13.1475","11.9782","13.5632","11.9028","","9.82%"
"01/09/2021","11.9715","11.4401","12.1793","11.3712","","4.81%"
"01/08/2021","11.4220","11.7519","12.0521","11.2770","","-2.57%"
"01/07/2021","11.7231","12.0433","12.0611","11.5514","","-2.59%"
"01/06/2021","12.0346","12.0652","12.4319","11.7004","","-0.13%"
"01/05/2021","12.0504","11.4621","12.2025","11.4302","","5.44%"
"01/04/2021","11.4290","11.3688","11.8091","11.0149","","0.61%"
"01/03/2021","11.3593","10.3502","11.6440","9.9815","","9.85%"
"01/02/2021","10.3412","10.0309","10.4551","9.5963","","3.27%"
"01/01/2021","10.0138","10.1683","10.2341","9.8391","","-1.46%"
"01/12/2020","10.1618","10.4363","10.6319","9.8882","","-2.55%"
"01/11/2020","10.4282","10.8057","11.2810","9.9375","","-3.43%"
"01/10/2020","10.7990","9.9710","10.8761","9.8656","","8.35%"
"01/09/2020","9.9671","9.8252","10.1241","9.5154","","1.48%"
"01/08/2020","9.8217","9.1244","9.8679","8.9939","","7.70%"
"01/07/2020","9.1191","8.4978","9.1920","8.4638","","7.37%"
"01/06/2020","8.4933","8.4158","8.6965","8.3825","","0.91%"
"01/05/2020","8.4164","8.8022","9.0020","8.2510","","-4.28%"
"01/04/2020","8.7929","8.2154","8.8406","8.1454","","7.11%"
"01/03/2020","8.2095","8.0044","8.2350","7.4243","","2.64%"
"01/02/2020","7.9980","7.9061","8.0814","7.6985","","1.31%"
"01/01/2020","7.8946","7.8889","7.9054","7.5874","","0.04%"
"01/12/2019","7.8911","7.4236","7.9047","7.4018","","6.19%"
"01/11/2019","7.4313","7.3945","7.5087","7.3183","","0.64%"
"01/10/2019","7.3842","6.9422","7.6403","6.9324","","6.38%"
"01/09/2019","6.9413","7.0850","7.1960","6.8613","","-2.05%"
"01/08/2019","7.0865","6.7900","7.1979","6.5915","","4.36%"
"01/07/2019","6.7902","7.3531","7.3597","6.7021","","-7.56%"
"01/06/2019","7.3458","7.3748","7.5521","7.2053","","-0.41%"
"01/05/2019","7.3762","7.7752","8.1397","7.3133","","-5.07%"
"01/04/2019","7.7699","7.2560","7.7881","7.1123","","7.62%"
"01/03/2019","7.2198","7.0781","7.7270","6.9562","","2.07%"
"01/02/2019","7.0736","6.7704","7.1029","6.7170","","4.52%"
"01/01/2019","6.7678","6.7493","7.2794","6.7024","","0.33%"
