"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2015","4.2986","4.3861","4.5457","4.2882","","-1.95%"
"01/11/2015","4.3839","4.4981","4.5078","4.2547","","-2.49%"
"01/10/2015","4.4959","4.5771","4.6228","4.4008","","-1.74%"
"01/09/2015","4.5755","4.4722","4.7489","4.4626","","2.41%"
"01/08/2015","4.4677","4.3256","4.7041","4.2846","","3.24%"
"01/07/2015","4.3273","4.2130","4.3667","4.0707","","2.78%"
"01/06/2015","4.2104","4.0685","4.3267","4.0549","","3.46%"
"01/05/2015","4.0697","4.1024","4.2333","3.9804","","-0.74%"
"01/04/2015","4.1002","3.8493","4.1549","3.8154","","6.57%"
"01/03/2015","3.8474","3.8777","4.0035","3.7856","","-0.59%"
"01/02/2015","3.8703","3.6879","3.9037","3.6119","","5.06%"
"01/01/2015","3.6839","3.6407","3.6899","3.4378","","1.37%"
"01/12/2014","3.6340","3.4791","3.8021","3.4649","","4.70%"
"01/11/2014","3.4709","3.5492","3.6142","3.4606","","-2.32%"
"01/10/2014","3.5533","3.6937","3.7178","3.5001","","-3.76%"
"01/09/2014","3.6923","3.5879","3.7205","3.4818","","2.84%"
"01/08/2014","3.5903","3.6168","3.6818","3.5653","","-0.68%"
"01/07/2014","3.6150","3.6253","3.6751","3.5419","","-0.20%"
"01/06/2014","3.6222","3.5150","3.6632","3.4808","","3.18%"
"01/05/2014","3.5106","3.5643","3.5867","3.4648","","-1.44%"
"01/04/2014","3.5618","3.5666","3.6582","3.4778","","-0.06%"
"01/03/2014","3.5638","3.6869","3.7557","3.5568","","-3.63%"
"01/02/2014","3.6979","3.7121","3.7536","3.5805","","-0.40%"
"01/01/2014","3.7128","3.5528","3.9589","3.5357","","4.55%"
