"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","41.357","40.753","41.459","40.377","","1.56%"
"01/04/2024","40.723","40.355","40.958","40.127","","1.01%"
"01/03/2024","40.317","39.951","40.848","39.859","","0.98%"
"01/02/2024","39.926","39.661","40.181","39.278","","0.82%"
"01/01/2024","39.603","39.080","40.211","38.897","","1.40%"
"01/12/2023","39.055","39.609","40.025","38.904","","-1.34%"
"01/11/2023","39.584","39.469","40.189","39.107","","0.33%"
"01/10/2023","39.455","39.360","39.712","38.925","","0.36%"
"01/09/2023","39.312","40.378","40.506","39.073","","-2.59%"
"01/08/2023","40.356","40.376","40.891","39.921","","0.03%"
"01/07/2023","40.344","39.524","40.757","39.401","","2.02%"
"01/06/2023","39.546","38.201","39.776","37.981","","3.60%"
"01/05/2023","38.173","38.679","38.914","37.731","","-1.13%"
"01/04/2023","38.610","37.671","38.702","37.482","","2.53%"
"01/03/2023","37.659","36.942","37.870","36.234","","2.00%"
"01/02/2023","36.919","37.038","37.307","36.002","","-0.09%"
"01/01/2023","36.953","37.095","37.734","36.373","","-0.10%"
"01/12/2022","36.989","37.155","38.084","36.807","","-0.40%"
"01/11/2022","37.137","37.002","37.670","35.724","","0.44%"
"01/10/2022","36.976","35.515","37.515","34.825","","4.18%"
"01/09/2022","35.492","35.339","36.280","33.124","","0.49%"
"01/08/2022","35.318","36.511","37.088","35.231","","-3.23%"
"01/07/2022","36.496","36.198","36.698","35.256","","0.89%"
"01/06/2022","36.174","36.591","37.236","35.448","","-1.09%"
"01/05/2022","36.573","37.070","37.310","36.277","","-1.17%"
"01/04/2022","37.007","37.631","38.278","36.685","","-1.58%"
"01/03/2022","37.601","37.594","37.972","36.904","","0.09%"
"01/02/2022","37.568","37.364","38.089","37.244","","0.62%"
"01/01/2022","37.335","37.504","37.979","37.046","","-0.42%"
"01/12/2021","37.492","36.762","37.575","36.477","","2.07%"
"01/11/2021","36.731","38.080","38.185","36.536","","-3.57%"
"01/10/2021","38.091","37.512","38.604","37.418","","1.67%"
"01/09/2021","37.466","38.052","38.507","37.289","","-1.49%"
"01/08/2021","38.031","38.832","38.943","37.974","","-2.05%"
"01/07/2021","38.826","38.604","39.117","38.091","","0.60%"
"01/06/2021","38.595","39.155","39.564","38.315","","-1.31%"
"01/05/2021","39.109","38.523","39.875","38.468","","1.67%"
"01/04/2021","38.466","39.221","39.685","38.473","","-1.85%"
"01/03/2021","39.193","38.862","39.756","38.505","","0.96%"
"01/02/2021","38.821","38.418","39.664","37.937","","1.21%"
"01/01/2021","38.359","38.406","38.560","37.691","","-0.07%"
"01/12/2020","38.387","38.096","38.474","37.009","","0.84%"
"01/11/2020","38.066","37.024","38.247","36.698","","2.91%"
"01/10/2020","36.991","37.369","37.801","36.666","","-1.00%"
"01/09/2020","37.363","39.271","39.605","36.893","","-4.83%"
"01/08/2020","39.258","38.398","39.356","38.167","","2.28%"
"01/07/2020","38.382","36.492","38.697","36.403","","5.25%"
"01/06/2020","36.468","36.966","37.935","36.069","","-1.34%"
"01/05/2020","36.963","37.534","37.628","36.180","","-1.42%"
"01/04/2020","37.494","37.614","38.039","36.767","","-0.25%"
"01/03/2020","37.587","38.639","39.749","34.606","","-2.67%"
"01/02/2020","38.616","40.079","40.119","38.425","","-3.59%"
"01/01/2020","40.054","39.669","40.125","38.710","","0.94%"
"01/12/2019","39.680","39.438","40.854","38.842","","0.55%"
"01/11/2019","39.464","39.458","39.616","38.742","","0.06%"
"01/10/2019","39.438","38.164","39.758","37.443","","3.39%"
"01/09/2019","38.147","38.058","38.957","37.549","","0.20%"
"01/08/2019","38.070","37.884","38.697","37.444","","0.52%"
"01/07/2019","37.874","39.313","39.383","37.662","","-3.62%"
"01/06/2019","39.295","39.822","40.100","39.152","","-1.33%"
"01/05/2019","39.824","40.277","40.715","39.699","","-1.07%"
"01/04/2019","40.257","40.225","40.667","39.820","","0.18%"
"01/03/2019","40.185","40.881","41.374","40.017","","-1.66%"
"01/02/2019","40.865","40.250","41.129","39.388","","1.60%"
"01/01/2019","40.223","38.962","40.684","38.283","","3.16%"
