"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","38.989","39.395","39.593","38.402","","-0.90%"
"01/11/2018","39.344","39.507","40.406","39.156","","-0.36%"
"01/10/2018","39.488","39.697","41.232","39.224","","-0.45%"
"01/09/2018","39.665","39.806","40.896","39.388","","-0.22%"
"01/08/2018","39.753","40.148","40.324","39.055","","-0.91%"
"01/07/2018","40.117","40.194","40.610","39.779","","-0.29%"
"01/06/2018","40.234","39.877","40.481","39.471","","0.94%"
"01/05/2018","39.858","40.786","40.834","39.684","","-2.28%"
"01/04/2018","40.788","40.679","42.234","40.593","","0.10%"
"01/03/2018","40.749","40.368","41.480","40.213","","0.98%"
"01/02/2018","40.355","41.409","41.803","40.348","","-2.48%"
"01/01/2018","41.380","40.093","41.644","39.826","","3.24%"
"01/12/2017","40.079","40.574","40.702","39.767","","-1.17%"
"01/11/2017","40.553","40.069","40.689","39.324","","1.26%"
"01/10/2017","40.049","40.608","40.700","39.516","","-1.39%"
"01/09/2017","40.613","39.046","41.151","38.724","","4.09%"
"01/08/2017","39.018","39.930","40.101","38.596","","-2.22%"
"01/07/2017","39.905","39.598","39.970","39.009","","0.72%"
"01/06/2017","39.618","38.795","39.724","38.081","","2.19%"
"01/05/2017","38.768","39.138","39.607","38.448","","-0.70%"
"01/04/2017","39.041","38.037","39.267","37.719","","2.59%"
"01/03/2017","38.054","37.955","38.230","37.372","","0.32%"
"01/02/2017","37.934","39.214","39.752","37.929","","-3.21%"
"01/01/2017","39.192","40.030","40.106","37.854","","-2.06%"
"01/12/2016","40.017","39.888","40.875","39.316","","0.38%"
"01/11/2016","39.867","38.587","40.489","38.481","","3.33%"
"01/10/2016","38.583","40.550","40.621","37.115","","-5.01%"
"01/09/2016","40.618","41.702","42.369","40.405","","-2.56%"
"01/08/2016","41.686","42.123","42.420","40.155","","-0.93%"
"01/07/2016","42.079","42.884","43.160","41.377","","-1.85%"
"01/06/2016","42.871","47.177","47.973","42.558","","-9.12%"
"01/05/2016","47.172","47.168","48.045","46.571","","0.00%"
"01/04/2016","47.173","46.252","47.385","45.443","","2.03%"
"01/03/2016","46.236","46.291","47.151","45.696","","-0.04%"
"01/02/2016","46.254","47.692","48.985","46.015","","-3.03%"
"01/01/2016","47.696","48.386","49.001","47.315","","-1.38%"
"01/12/2015","48.363","49.250","50.451","48.384","","-1.72%"
"01/11/2015","49.211","50.140","50.347","48.871","","-1.66%"
"01/10/2015","50.044","49.913","50.322","49.150","","0.29%"
"01/09/2015","49.901","49.868","50.877","49.434","","0.09%"
"01/08/2015","49.855","49.485","52.235","48.911","","0.86%"
"01/07/2015","49.431","48.536","49.535","47.558","","1.97%"
"01/06/2015","48.475","47.125","49.091","46.827","","2.89%"
"01/05/2015","47.115","47.000","48.370","46.310","","0.28%"
"01/04/2015","46.983","46.309","47.432","45.539","","1.50%"
"01/03/2015","46.290","48.553","48.616","46.131","","-4.54%"
"01/02/2015","48.490","47.888","49.133","47.296","","1.44%"
"01/01/2015","47.804","49.279","49.372","46.753","","-2.92%"
"01/12/2014","49.242","48.521","49.578","48.308","","1.57%"
"01/11/2014","48.481","48.639","48.986","47.900","","-0.39%"
"01/10/2014","48.673","49.334","49.471","48.214","","-1.33%"
"01/09/2014","49.327","49.583","50.040","48.094","","-0.48%"
"01/08/2014","49.567","50.764","50.795","49.472","","-2.33%"
"01/07/2014","50.752","51.104","51.569","50.620","","-0.64%"
"01/06/2014","51.078","50.306","51.245","50.151","","1.68%"
"01/05/2014","50.233","50.896","51.201","50.065","","-1.24%"
"01/04/2014","50.863","50.739","51.125","50.033","","0.27%"
"01/03/2014","50.728","50.771","50.873","50.247","","-0.02%"
"01/02/2014","50.738","49.890","50.932","49.275","","1.84%"
"01/01/2014","49.822","49.391","50.656","48.990","","0.93%"
