"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","3,438.55","3,471.26","3,477.28","3,421.31","","-0.77%"
"01/07/2024","3,465.18","3,331.83","3,494.58","3,325.11","","4.22%"
"01/06/2024","3,324.85","3,316.82","3,404.49","2,908.36","","0.38%"
"01/05/2024","3,312.14","3,229.18","3,325.80","2,908.36","","2.78%"
"01/04/2024","3,222.68","3,239.85","3,279.44","3,180.39","","-0.26%"
"01/03/2024","3,231.23","3,219.38","3,288.23","3,208.89","","0.58%"
"01/02/2024","3,212.55","3,228.97","3,263.85","3,155.57","","-0.29%"
"01/01/2024","3,221.99","3,195.48","3,268.76","3,163.06","","1.05%"
"01/12/2023","3,188.61","3,162.31","3,226.04","3,131.00","","1.05%"
"01/11/2023","3,155.50","3,093.32","3,199.08","3,021.33","","2.23%"
"01/10/2023","3,086.61","3,062.45","3,103.20","3,015.14","","1.02%"
"01/09/2023","3,055.35","3,174.84","3,184.73","3,005.18","","-3.56%"
"01/08/2023","3,168.25","3,151.98","3,206.78","3,109.91","","0.75%"
"01/07/2023","3,144.57","3,063.91","3,216.46","3,057.27","","2.71%"
"01/06/2023","3,061.66","2,942.06","3,082.41","2,907.28","","4.31%"
"01/05/2023","2,935.13","2,953.76","2,986.26","2,893.20","","-0.35%"
"01/04/2023","2,945.55","2,885.11","2,958.73","2,862.65","","2.28%"
"01/03/2023","2,879.76","2,813.03","2,901.84","2,753.98","","2.60%"
"01/02/2023","2,806.67","2,881.42","2,899.31","2,783.83","","-2.39%"
"01/01/2023","2,875.49","2,821.14","2,905.59","2,763.46","","2.15%"
"01/12/2022","2,814.97","2,811.46","2,904.78","2,798.63","","0.34%"
"01/11/2022","2,805.43","2,674.92","2,834.55","2,599.60","","5.12%"
"01/10/2022","2,668.84","2,600.40","2,716.08","2,547.36","","2.86%"
"01/09/2022","2,594.70","2,709.32","2,737.77","2,419.47","","-3.98%"
