"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2018","2,934.69","2,917.01","2,947.77","2,916.56","","0.41%"
"28/12/2018","2,922.73","2,907.00","2,923.87","2,905.63","","0.55%"
"27/12/2018","2,906.86","2,905.37","2,914.20","2,901.58","","0.04%"
"26/12/2018","2,905.82","2,915.23","2,925.79","2,905.13","","-0.41%"
"25/12/2018","2,917.90","2,926.85","2,938.78","2,913.08","","-0.29%"
"24/12/2018","2,926.52","2,910.00","2,931.11","2,904.95","","0.73%"
"21/12/2018","2,905.25","2,911.44","2,920.62","2,902.03","","-0.21%"
"20/12/2018","2,911.23","2,900.67","2,922.93","2,899.98","","0.38%"
"19/12/2018","2,900.30","2,908.79","2,916.60","2,899.84","","-0.27%"
"18/12/2018","2,908.24","2,903.65","2,922.70","2,900.43","","0.14%"
"17/12/2018","2,904.21","2,895.95","2,909.03","2,890.90","","0.34%"
"14/12/2018","2,894.32","2,910.84","2,915.43","2,881.70","","-0.58%"
"13/12/2018","2,911.23","2,904.80","2,918.11","2,900.44","","0.23%"
"12/12/2018","2,904.44","2,871.85","2,914.77","2,869.79","","1.12%"
"11/12/2018","2,872.24","2,888.76","2,907.12","2,870.41","","-0.60%"
"10/12/2018","2,889.61","2,927.70","2,952.34","2,876.75","","-1.30%"
"07/12/2018","2,927.56","2,940.41","2,946.83","2,923.43","","-0.44%"
"06/12/2018","2,940.44","2,928.73","2,946.86","2,921.16","","0.40%"
"05/12/2018","2,928.71","2,926.64","2,943.85","2,914.48","","0.11%"
"04/12/2018","2,925.60","2,952.20","2,959.14","2,911.60","","-0.89%"
"03/12/2018","2,951.97","2,936.85","2,975.58","2,928.36","","0.60%"
"30/11/2018","2,934.23","2,961.44","2,962.60","2,929.18","","-0.83%"
"29/11/2018","2,958.73","2,959.71","2,972.13","2,930.59","","-0.13%"
"28/11/2018","2,962.69","2,944.48","2,967.99","2,931.51","","0.60%"
"27/11/2018","2,945.14","2,952.13","2,958.12","2,937.21","","-0.23%"
"26/11/2018","2,951.94","2,956.30","2,967.23","2,942.99","","0.16%"
"23/11/2018","2,947.22","2,963.20","2,964.57","2,943.78","","-0.54%"
"22/11/2018","2,963.23","2,954.09","2,973.42","2,937.39","","0.35%"
"21/11/2018","2,952.88","2,940.08","2,964.34","2,937.78","","0.40%"
"20/11/2018","2,941.24","2,955.70","2,963.27","2,938.49","","-0.49%"
"19/11/2018","2,955.73","2,964.79","2,970.79","2,942.88","","-0.36%"
"16/11/2018","2,966.45","2,945.54","2,978.25","2,939.94","","0.75%"
"15/11/2018","2,944.27","2,982.81","2,991.67","2,926.94","","-1.29%"
"14/11/2018","2,982.70","2,976.12","3,000.36","2,957.23","","0.23%"
"13/11/2018","2,975.97","2,945.88","2,994.31","2,940.92","","0.99%"
"12/11/2018","2,946.92","2,973.87","2,975.48","2,942.11","","-1.00%"
"09/11/2018","2,976.81","2,996.75","3,000.88","2,972.68","","-0.65%"
"08/11/2018","2,996.31","3,010.98","3,016.48","2,992.18","","-0.49%"
"07/11/2018","3,011.11","2,995.75","3,022.57","2,989.81","","0.38%"
"06/11/2018","2,999.67","2,994.47","3,002.19","2,981.85","","0.30%"
"05/11/2018","2,990.72","2,989.05","2,997.53","2,970.11","","0.50%"
"02/11/2018","2,975.89","2,984.83","2,991.94","2,970.85","","-0.31%"
"01/11/2018","2,985.07","2,928.91","2,990.80","2,927.31","","1.93%"
"31/10/2018","2,928.64","2,915.70","2,943.30","2,913.86","","0.45%"
"30/10/2018","2,915.51","2,936.73","2,941.55","2,912.97","","-0.70%"
"29/10/2018","2,935.99","2,934.81","2,949.76","2,924.66","","-0.19%"
"26/10/2018","2,941.44","2,945.47","2,948.45","2,926.40","","0.02%"
"25/10/2018","2,940.86","2,955.99","2,964.71","2,936.50","","-0.50%"
"24/10/2018","2,955.55","2,978.93","2,981.23","2,947.90","","-0.79%"
"23/10/2018","2,978.95","2,974.59","2,984.03","2,963.69","","0.16%"
"22/10/2018","2,974.25","2,998.55","3,003.14","2,972.41","","-0.83%"
"19/10/2018","2,999.26","2,986.87","3,006.82","2,985.27","","0.41%"
"18/10/2018","2,986.98","3,008.76","3,013.12","2,986.29","","-0.74%"
"17/10/2018","3,009.24","3,024.83","3,027.35","2,995.32","","-0.54%"
"16/10/2018","3,025.64","3,017.85","3,037.34","3,006.24","","0.26%"
"15/10/2018","3,017.84","3,003.27","3,022.20","2,989.33","","0.22%"
"12/10/2018","3,011.30","3,024.05","3,044.33","3,009.92","","-0.42%"
"11/10/2018","3,024.08","3,027.73","3,039.17","3,014.86","","0.04%"
"10/10/2018","3,022.76","3,001.00","3,027.80","2,998.72","","0.56%"
"09/10/2018","3,006.03","2,993.94","3,008.72","2,980.48","","0.41%"
"08/10/2018","2,993.68","2,997.79","3,011.74","2,977.84","","-0.17%"
"05/10/2018","2,998.72","2,975.24","3,002.66","2,973.18","","0.79%"
"04/10/2018","2,975.30","2,957.06","2,984.00","2,955.01","","0.63%"
"03/10/2018","2,956.79","2,975.80","2,984.73","2,953.14","","-0.47%"
"02/10/2018","2,970.76","2,984.59","2,987.56","2,961.84","","-0.47%"
"01/10/2018","2,984.89","2,973.03","3,000.67","2,972.57","","0.25%"
"28/09/2018","2,977.47","2,998.48","3,000.77","2,969.33","","-0.53%"
"27/09/2018","2,993.47","3,004.61","3,016.11","2,987.85","","-0.50%"
"26/09/2018","3,008.55","3,013.79","3,025.31","3,006.49","","-0.13%"
"25/09/2018","3,012.32","2,997.95","3,019.03","2,990.49","","0.47%"
"24/09/2018","2,998.26","2,995.33","3,007.66","2,984.48","","0.42%"
"21/09/2018","2,985.59","3,031.53","3,034.04","2,980.35","","-1.51%"
"20/09/2018","3,031.51","3,003.47","3,037.48","3,001.07","","0.94%"
"19/09/2018","3,003.40","3,012.86","3,019.36","2,989.39","","-0.18%"
"18/09/2018","3,008.71","3,010.99","3,012.82","2,990.70","","-0.08%"
"17/09/2018","3,010.99","2,981.92","3,013.05","2,981.53","","0.85%"
"14/09/2018","2,985.70","2,995.04","3,006.79","2,978.25","","-0.31%"
"13/09/2018","2,994.95","2,989.10","2,997.29","2,973.88","","0.32%"
"12/09/2018","2,985.38","2,974.14","2,992.93","2,962.87","","0.23%"
"11/09/2018","2,978.61","2,973.96","2,997.24","2,962.27","","0.16%"
"10/09/2018","2,973.95","2,963.57","2,979.87","2,945.63","","0.58%"
"07/09/2018","2,956.67","2,956.37","2,981.36","2,952.03","","-0.03%"
"06/09/2018","2,957.66","2,951.27","2,964.74","2,943.07","","0.20%"
"05/09/2018","2,951.72","2,939.84","2,969.53","2,916.41","","0.39%"
"04/09/2018","2,940.28","2,942.57","2,946.45","2,922.09","","-0.12%"
"03/09/2018","2,943.83","2,966.44","2,966.44","2,939.72","","-0.71%"
"31/08/2018","2,964.75","2,967.68","2,979.14","2,957.66","","-0.20%"
"30/08/2018","2,970.64","2,982.10","2,986.21","2,964.72","","-0.29%"
"29/08/2018","2,979.16","2,944.90","2,980.99","2,930.11","","1.16%"
"28/08/2018","2,945.09","2,948.74","2,957.88","2,941.43","","-0.12%"
"27/08/2018","2,948.63","2,927.54","2,950.91","2,924.43","","0.53%"
"24/08/2018","2,933.06","2,933.83","2,939.89","2,923.86","","0.06%"
"23/08/2018","2,931.36","2,953.06","2,955.12","2,928.39","","-0.72%"
"22/08/2018","2,952.75","2,950.46","2,958.91","2,942.92","","0.07%"
"21/08/2018","2,950.69","2,919.26","2,956.40","2,918.12","","0.99%"
"20/08/2018","2,921.67","2,907.18","2,922.35","2,904.68","","0.40%"
"17/08/2018","2,910.12","2,901.93","2,913.43","2,897.83","","0.26%"
"16/08/2018","2,902.59","2,904.97","2,913.65","2,896.44","","-0.03%"
"15/08/2018","2,903.40","2,911.29","2,914.72","2,895.18","","-0.23%"
"14/08/2018","2,910.21","2,920.72","2,924.60","2,905.41","","-0.34%"
