"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","4,852.53","4,784.38","4,872.92","4,710.01","","2.10%"
"01/04/2024","4,752.78","4,900.83","4,905.88","4,682.44","","-2.83%"
"01/03/2024","4,891.03","4,955.31","5,048.56","4,880.17","","-1.16%"
"01/02/2024","4,948.22","4,843.46","5,025.16","4,785.25","","2.25%"
"01/01/2024","4,839.33","4,812.32","4,874.69","4,769.98","","0.71%"
"01/12/2023","4,805.20","4,819.21","4,860.24","4,715.88","","-0.21%"
"01/11/2023","4,815.29","4,604.48","4,858.02","4,577.96","","4.74%"
"01/10/2023","4,597.36","4,587.58","4,639.82","4,501.65","","0.38%"
"01/09/2023","4,579.97","4,714.73","4,729.70","4,539.06","","-2.72%"
"01/08/2023","4,708.02","4,647.72","4,784.29","4,552.40","","1.47%"
"01/07/2023","4,639.85","4,656.13","4,857.69","4,603.87","","-0.35%"
"01/06/2023","4,656.02","4,689.88","4,763.88","4,604.11","","-0.57%"
"01/05/2023","4,682.53","4,696.10","4,734.28","4,579.81","","-0.11%"
"01/04/2023","4,687.77","4,654.39","4,817.86","4,607.00","","0.82%"
"01/03/2023","4,649.54","4,478.01","4,709.64","4,374.38","","3.98%"
"01/02/2023","4,471.44","4,543.25","4,574.50","4,371.80","","-1.45%"
"01/01/2023","4,537.46","4,494.23","4,582.35","4,392.54","","1.10%"
"01/12/2022","4,487.99","4,514.98","4,764.59","4,365.09","","-0.46%"
"01/11/2022","4,508.94","4,358.79","4,545.98","4,219.33","","3.59%"
"01/10/2022","4,352.49","4,302.94","4,464.30","4,183.71","","1.35%"
"01/09/2022","4,294.37","4,422.56","4,477.29","3,971.88","","-2.76%"
"01/08/2022","4,416.36","4,695.08","4,757.97","4,390.10","","-5.80%"
"01/07/2022","4,688.30","4,588.48","4,748.78","4,405.92","","2.33%"
"01/06/2022","4,581.45","4,764.31","4,792.75","4,481.03","","-3.68%"
"01/05/2022","4,756.50","4,474.69","4,801.15","4,348.54","","6.58%"
"01/04/2022","4,462.71","4,709.79","4,729.68","4,415.31","","-5.09%"
"01/03/2022","4,701.97","4,752.92","4,805.79","4,657.67","","-0.86%"
"01/02/2022","4,742.89","4,713.84","4,816.69","4,684.84","","0.77%"
"01/01/2022","4,706.61","4,798.10","4,859.18","4,684.44","","-1.75%"
"01/12/2021","4,790.62","4,741.10","4,819.06","4,655.54","","1.22%"
"01/11/2021","4,733.02","4,868.79","4,874.96","4,702.41","","-2.66%"
"01/10/2021","4,862.29","4,789.29","5,022.00","4,754.93","","1.67%"
"01/09/2021","4,782.56","4,860.38","4,912.21","4,734.93","","-1.40%"
"01/08/2021","4,850.42","4,936.25","4,957.63","4,803.94","","-1.60%"
"01/07/2021","4,929.29","4,923.13","4,966.92","4,831.46","","0.28%"
"01/06/2021","4,915.50","5,041.08","5,055.17","4,848.94","","-2.22%"
"01/05/2021","5,027.02","4,938.71","5,082.35","4,925.81","","2.14%"
"01/04/2021","4,921.73","5,050.92","5,096.70","4,930.71","","-2.41%"
"01/03/2021","5,043.11","5,108.65","5,152.92","5,003.58","","-1.10%"
"01/02/2021","5,099.11","5,053.25","5,224.98","4,970.77","","1.15%"
"01/01/2021","5,041.23","4,993.19","5,089.33","4,967.75","","1.10%"
"01/12/2020","4,986.54","4,936.73","5,003.77","4,807.21","","1.17%"
"01/11/2020","4,928.77","4,841.81","4,966.68","4,807.21","","1.97%"
"01/10/2020","4,833.46","4,801.62","4,929.08","4,752.51","","0.80%"
"01/09/2020","4,795.16","4,918.88","4,960.58","4,668.30","","-2.40%"
"01/08/2020","4,913.11","4,829.06","4,929.73","4,773.58","","1.96%"
"01/07/2020","4,818.47","4,622.35","4,857.46","4,603.33","","4.49%"
"01/06/2020","4,611.25","4,670.31","4,785.85","4,569.63","","-1.17%"
"01/05/2020","4,666.03","4,787.62","4,788.95","4,551.37","","-2.36%"
"01/04/2020","4,778.66","4,710.59","4,813.00","4,585.83","","1.67%"
"01/03/2020","4,700.21","4,745.60","4,904.17","4,329.39","","-0.91%"
"01/02/2020","4,743.40","4,863.67","4,863.67","4,708.79","","-2.21%"
"01/01/2020","4,850.63","4,860.15","4,908.81","4,753.57","","-0.10%"
"01/12/2019","4,855.72","4,779.48","4,962.58","4,726.00","","1.61%"
"01/11/2019","4,778.74","4,807.21","4,838.19","4,723.04","","-0.46%"
"01/10/2019","4,800.74","4,526.23","4,819.82","4,493.21","","6.20%"
"01/09/2019","4,520.26","4,480.13","4,623.52","4,406.52","","0.91%"
"01/08/2019","4,479.49","4,497.17","4,544.67","4,442.37","","-0.28%"
"01/07/2019","4,492.01","4,690.81","4,714.73","4,488.71","","-4.09%"
"01/06/2019","4,683.72","4,747.75","4,807.34","4,649.05","","-1.50%"
"01/05/2019","4,755.10","4,898.21","4,969.42","4,724.35","","-2.72%"
"01/04/2019","4,888.24","4,843.87","4,929.25","4,805.68","","1.16%"
"01/03/2019","4,832.27","4,910.54","4,977.22","4,784.92","","-1.46%"
"01/02/2019","4,904.00","4,818.13","4,939.56","4,683.87","","1.92%"
"01/01/2019","4,811.44","4,729.85","4,874.67","4,610.13","","1.95%"
