"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","4,719.20","4,761.00","4,791.00","4,629.46","","-0.63%"
"01/11/2018","4,749.13","4,797.46","4,948.08","4,740.77","","-0.88%"
"01/10/2018","4,791.08","4,984.55","5,048.01","4,761.58","","-3.73%"
"01/09/2018","4,976.70","4,883.77","5,084.87","4,824.08","","2.12%"
"01/08/2018","4,873.34","4,852.96","4,911.25","4,680.94","","0.57%"
"01/07/2018","4,845.75","5,118.84","5,131.24","4,830.40","","-5.37%"
"01/06/2018","5,120.54","5,020.94","5,185.25","4,999.73","","2.14%"
"01/05/2018","5,013.35","5,110.15","5,115.48","4,957.07","","-1.91%"
"01/04/2018","5,111.05","5,180.80","5,313.75","5,082.79","","-1.12%"
"01/03/2018","5,168.73","5,014.33","5,242.35","4,986.00","","3.23%"
"01/02/2018","5,006.90","5,141.94","5,184.96","5,003.21","","-2.47%"
"01/01/2018","5,133.94","4,915.23","5,227.94","4,907.40","","4.61%"
"01/12/2017","4,907.56","4,913.63","4,948.83","4,806.02","","0.01%"
"01/11/2017","4,906.87","4,857.90","4,922.53","4,735.47","","1.22%"
"01/10/2017","4,847.93","4,824.06","4,871.01","4,708.71","","0.58%"
"01/09/2017","4,819.88","4,655.65","4,907.14","4,645.44","","3.72%"
"01/08/2017","4,647.20","4,770.80","4,795.84","4,598.10","","-2.44%"
"01/07/2017","4,763.65","4,674.99","4,774.23","4,612.50","","1.73%"
"01/06/2017","4,682.49","4,630.27","4,691.17","4,517.56","","1.29%"
"01/05/2017","4,622.93","4,728.78","4,749.83","4,599.21","","-2.00%"
"01/04/2017","4,717.33","4,531.06","4,733.14","4,467.18","","4.16%"
"01/03/2017","4,529.12","4,441.06","4,552.39","4,358.40","","2.13%"
"01/02/2017","4,434.52","4,508.13","4,555.82","4,422.34","","-1.46%"
"01/01/2017","4,500.05","4,456.54","4,550.33","4,319.69","","1.19%"
"01/12/2016","4,447.13","4,541.12","4,633.88","4,370.87","","-1.82%"
"01/11/2016","4,529.41","4,241.85","4,551.36","4,228.85","","6.93%"
"01/10/2016","4,235.73","4,387.06","4,388.90","4,030.62","","-3.53%"
"01/09/2016","4,390.74","4,434.75","4,548.15","4,361.88","","-0.82%"
"01/08/2016","4,427.17","4,473.94","4,522.02","4,332.77","","-0.81%"
"01/07/2016","4,463.44","4,529.73","4,571.69","4,341.25","","-1.30%"
"01/06/2016","4,522.40","4,864.60","5,051.56","4,382.69","","-6.89%"
"01/05/2016","4,857.03","4,850.52","4,994.21","4,752.00","","0.53%"
"01/04/2016","4,831.40","4,839.65","4,910.04","4,704.44","","0.00%"
"01/03/2016","4,831.47","4,797.85","4,986.40","4,636.82","","0.72%"
"01/02/2016","4,797.15","4,943.96","5,177.74","4,626.67","","-2.87%"
"01/01/2016","4,938.74","4,968.98","5,106.16","4,879.94","","-0.47%"
"01/12/2015","4,962.28","5,043.92","5,422.59","4,927.23","","-1.46%"
"01/11/2015","5,035.56","5,488.68","5,586.51","5,003.00","","-9.05%"
"01/10/2015","5,536.55","5,585.44","5,883.42","5,383.20","","-0.73%"
"01/09/2015","5,577.32","5,620.33","5,870.15","5,538.52","","-0.62%"
"01/08/2015","5,612.10","5,353.28","5,897.97","5,334.75","","5.04%"
"01/07/2015","5,342.72","5,189.18","5,643.54","4,832.25","","3.15%"
"01/06/2015","5,179.51","4,672.17","5,424.66","4,642.84","","11.08%"
"01/05/2015","4,662.84","4,594.71","4,740.13","4,524.10","","1.67%"
"01/04/2015","4,586.28","4,423.02","4,640.00","4,333.23","","3.88%"
"01/03/2015","4,415.17","4,462.75","4,730.33","4,171.46","","-0.83%"
"01/02/2015","4,452.13","4,307.19","4,509.29","4,273.71","","3.69%"
"01/01/2015","4,293.81","4,316.53","4,491.50","4,203.08","","-0.32%"
"01/12/2014","4,307.49","4,343.02","4,399.70","4,266.40","","-0.61%"
"01/11/2014","4,333.94","4,321.92","4,418.02","4,262.42","","0.35%"
"01/10/2014","4,318.65","4,288.48","4,391.11","4,218.06","","0.90%"
"01/09/2014","4,279.97","4,323.13","4,364.10","4,177.16","","-0.82%"
"01/08/2014","4,315.22","4,424.27","4,438.19","4,280.37","","-2.26%"
"01/07/2014","4,415.17","4,447.95","4,583.02","4,416.40","","-0.52%"
"01/06/2014","4,438.23","4,287.07","4,481.71","4,241.81","","3.83%"
"01/05/2014","4,274.60","4,243.44","4,359.26","4,219.27","","0.95%"
"01/04/2014","4,234.37","4,243.56","4,310.29","4,182.15","","-0.03%"
"01/03/2014","4,235.48","4,245.37","4,274.69","4,168.21","","-0.01%"
"01/02/2014","4,235.98","4,067.22","4,305.60","4,006.56","","4.45%"
"01/01/2014","4,055.42","4,177.46","4,241.37","4,063.01","","-2.72%"
