"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","11.9000","12.0000","12.1505","11.8500","","-0.42%"
"01/11/2023","11.9500","11.8750","12.1350","11.7500","","0.59%"
"01/10/2023","11.8800","11.5050","11.9750","11.4250","","2.86%"
"01/09/2023","11.5500","11.3500","11.8000","11.2750","","1.76%"
"01/08/2023","11.3500","11.3200","11.6250","11.0500","","0.27%"
"01/07/2023","11.3200","11.3000","11.8350","10.9300","","-0.04%"
"01/06/2023","11.3250","11.2500","11.6000","10.8100","","0.67%"
"01/05/2023","11.2500","11.7500","12.2750","10.4000","","-4.66%"
"01/04/2023","11.8000","11.7500","12.4500","10.5500","","2.16%"
"01/03/2023","11.5500","12.8500","12.9500","11.4500","","-10.12%"
"01/02/2023","12.8500","12.3000","12.9500","11.9000","","2.80%"
"01/01/2023","12.5000","10.3000","12.5000","9.7500","","25.25%"
"01/12/2022","9.9800","14.4000","14.4000","8.2500","","-30.69%"
"01/11/2022","14.4000","14.0000","14.7750","13.1250","","2.86%"
"01/10/2022","14.0000","10.4500","14.0500","10.1300","","34.94%"
"01/09/2022","10.3750","9.9250","10.4500","9.6750","","2.72%"
"01/08/2022","10.1000","8.4500","10.1100","8.2500","","19.53%"
"01/07/2022","8.4500","8.0250","8.5750","7.8250","","5.30%"
"01/06/2022","8.0250","7.7750","8.0850","7.6000","","2.88%"
"01/05/2022","7.8000","7.5250","7.8500","7.2500","","3.65%"
"01/04/2022","7.5250","7.5750","7.6925","7.2750","","0.00%"
"01/03/2022","7.5250","6.7850","7.6750","6.6250","","11.90%"
"01/02/2022","6.7250","6.2000","6.8600","6.0500","","7.17%"
"01/01/2022","6.2750","6.1500","6.3863","5.9975","","2.03%"
