"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2021","6.1500","6.1500","6.2800","6.0375","","0.24%"
"01/11/2021","6.1350","6.1000","6.2350","5.9600","","0.41%"
"01/10/2021","6.1100","6.0100","6.2700","5.9350","","0.99%"
"01/09/2021","6.0500","6.0400","6.1175","5.8050","","0.17%"
"01/08/2021","6.0400","5.9800","6.0950","5.7700","","1.00%"
"01/07/2021","5.9800","5.8900","6.0200","5.7800","","2.22%"
"01/06/2021","5.8500","5.7800","5.9350","5.7450","","1.21%"
"01/05/2021","5.7800","5.7800","5.8250","5.7200","","0.35%"
"01/04/2021","5.7600","5.7800","5.8300","5.6625","","0.17%"
"01/03/2021","5.7500","5.7500","5.8800","5.6925","","0.35%"
"01/02/2021","5.7300","5.8250","5.8700","5.7275","","-1.46%"
"01/01/2021","5.8150","5.8800","5.9050","5.7700","","-0.43%"
"01/12/2020","5.8400","5.8600","5.9900","5.7675","","-0.51%"
"01/11/2020","5.8700","5.8550","5.9700","5.7750","","0.73%"
"01/10/2020","5.8275","5.8350","5.8840","5.7650","","0.65%"
"01/09/2020","5.7900","5.7800","5.8600","5.6850","","0.17%"
"01/08/2020","5.7800","5.7750","5.8375","5.6850","","0.35%"
"01/07/2020","5.7600","5.7850","5.8500","5.6650","","-0.43%"
"01/06/2020","5.7850","5.7850","5.8750","5.6250","","0.00%"
"01/05/2020","5.7850","5.7400","5.8975","5.6300","","0.17%"
"01/04/2020","5.7750","5.7250","5.9500","5.6150","","0.17%"
"01/03/2020","5.7650","5.4000","5.9200","5.2950","","5.47%"
"01/02/2020","5.4658","5.5000","5.5750","5.2050","","-0.37%"
"01/01/2020","5.4862","5.6600","5.7860","5.4350","","-3.07%"
"01/12/2019","5.6600","5.5850","5.8450","5.4950","","2.35%"
"01/11/2019","5.5300","5.4450","5.6425","5.3525","","1.56%"
"01/10/2019","5.4450","5.3650","5.5500","5.3200","","0.46%"
"01/09/2019","5.4200","5.4450","5.5353","5.3350","","-0.55%"
"01/08/2019","5.4500","5.3987","5.5200","5.2900","","1.30%"
"01/07/2019","5.3800","5.4000","5.4850","5.2050","","-0.92%"
"01/06/2019","5.4300","5.3100","5.5000","5.1674","","0.66%"
"01/05/2019","5.3946","5.2000","5.4658","4.9900","","4.94%"
"01/04/2019","5.1408","5.5200","5.5200","4.9800","","-6.24%"
"01/03/2019","5.4831","5.2150","5.8675","4.9500","","-0.21%"
"01/02/2019","5.4945","4.9513","5.5547","4.8938","","11.47%"
"01/01/2019","4.9291","4.8760","5.1000","4.8134","","2.26%"
