Average weekly BID rates @ +/- 0.0%,,,,
OANDA Exchange Rates,,,,
https://fxds-hcc.oanda.com,,,,
,,,,
,,,,
Period Start Date,GBP/LYD,,GBP/CDF,
23/12/2019,1.78854,1.8068925,2164.95,2170.6925
16/12/2019,1.80371,1.781345,2169.22,2118.42
09/12/2019,1.82914,1.7669375,2192.61,2094.795
02/12/2019,1.80618,1.715478,2155.99,2031.394
25/11/2019,1.78387,1.679135,2123.32,1995.275
18/11/2019,1.78383,1.714762,2121.92,2040.504
11/11/2019,1.78595,1.7426025,2116.78,2079.525
04/11/2019,1.77173,1.7610125,2111.66,2075.055
28/10/2019,1.77818,1.796598,2123.02,2107.886
21/10/2019,1.78179,1.8099725,2115.83,2126.6775
14/10/2019,1.77929,1.787245,2102.99,2072.5675
07/10/2019,1.72849,1.77783,2037.34,2047.0875
30/09/2019,1.71271,,2022.6,
23/09/2019,1.71731,,2034.35,
16/09/2019,1.72934,,2052.08,
09/09/2019,1.71802,,2039.71,
02/09/2019,1.70001,,2008.23,
26/08/2019,1.69035,,2001.75,
19/08/2019,1.68461,,2004.43,
12/08/2019,1.66929,,1987.79,
05/08/2019,1.67229,,1987.13,
29/07/2019,1.68328,,1996.79,
22/07/2019,1.71421,,2040.09,
15/07/2019,1.72018,,2048.26,
08/07/2019,1.72773,,2054.96,
01/07/2019,1.72841,,2062.42,
24/06/2019,1.73709,,2083.75,
17/06/2019,1.73635,,2076.06,
10/06/2019,1.74516,,2076.28,
03/06/2019,1.75181,,2082.01,
27/05/2019,1.73884,,2064.99,
20/05/2019,1.75058,,2070.97,
13/05/2019,1.76384,,2071.71,
06/05/2019,1.79079,,2092.55,
29/04/2019,1.80057,,2102.79,
22/04/2019,1.78246,,2093.74,
15/04/2019,1.79552,,2107.49,
08/04/2019,1.80129,,2117.01,
01/04/2019,1.80315,,2118.4,
25/03/2019,1.80431,,2123.76,
18/03/2019,1.81305,,2134.08,
11/03/2019,1.81802,,2133.31,
04/03/2019,1.80451,,2115.56,
25/02/2019,1.81544,,2132.54,
18/02/2019,1.7914,,2073.58,
11/02/2019,1.76856,,2034.74,
04/02/2019,1.77358,,2049.41,
28/01/2019,1.79453,,2071.64,
21/01/2019,1.79561,,2063.15,
14/01/2019,1.76709,,2034.46,
07/01/2019,1.75409,,2019.1,
31/12/2018,1.75044,1.750438,2006.27,1996.63
24/12/2018,1.75377,1.779175,2003.92,2019.1575
