Average monthly BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,GBP/LYD,GBP/CDF
2024-07-01,6.20116,3645.69
2024-06-01,6.13356,3579.25
2024-05-01,6.09938,3515.84
2024-04-01,6.04574,3468.94
2024-03-01,6.08916,3499.65
2024-02-01,6.07662,3442.42
2024-01-01,6.07494,3393.87
2023-12-01,6.04985,3397.94
2023-11-01,5.98670,3239.07
2023-10-01,5.91980,3059.35
2023-09-01,5.98425,3055.30
2023-08-01,6.07682,3092.53
2023-07-01,6.11844,3143.38
2023-06-01,6.04710,2964.44
2023-05-01,5.93370,2711.43
2023-04-01,5.88441,2548.15
2023-03-01,5.79780,2466.42
2023-02-01,5.75319,2450.49
2023-01-01,5.81533,2462.10
2022-12-01,5.85453,2442.19
2022-11-01,5.77061,2361.32
2022-10-01,5.63117,2267.09
2022-09-01,5.59679,2267.60
2022-08-01,5.81991,2389.16
2022-07-01,5.80504,2396.05
2022-06-01,5.88534,2458.97
2022-05-01,5.93311,2485.68
2022-04-01,6.05492,2583.66
2022-03-01,6.08327,2626.43
2022-02-01,6.17597,2701.05
2022-01-01,6.18330,2692.85
2021-12-01,6.08853,2639.92
2021-11-01,6.12284,2667.62
2021-10-01,6.19120,2715.92
2021-09-01,6.17992,2712.41
2021-08-01,6.20267,2730.06
2021-07-01,6.19544,2737.48
2021-06-01,6.23319,2764.43
2021-05-01,6.25289,2786.58
2021-04-01,6.20422,2728.19
2021-03-01,6.18520,2729.53
2021-02-01,6.15066,2718.13
2021-01-01,5.18868,2661.47
2020-12-01,1.77455,2619.66
2020-11-01,1.76369,2570.71
2020-10-01,1.75027,2532.88
2020-09-01,1.74200,2519.37
2020-08-01,1.76745,2546.85
2020-07-01,1.73950,2416.45
2020-06-01,1.72862,2294.41
2020-05-01,1.71500,2181.53
2020-04-01,1.72565,2100.13
2020-03-01,1.71385,2084.98
2020-02-01,1.79810,2163.62
2020-01-01,1.80112,2176.78

Period Average,5.07449,2720.13
Period Low,1.71385,2084.98
Period High,6.25289,3645.69
