Average monthly BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,GBP/GHC,GBP/GHS
2024-07-01,198262,19.8262
2024-06-01,190816,19.0816
2024-05-01,179062,17.9062
2024-04-01,167911,16.7911
2024-03-01,163997,16.3997
2024-02-01,156972,15.6972
2024-01-01,152856,15.2856
2023-12-01,151833,15.1833
2023-11-01,148071,14.8071
2023-10-01,142969,14.2969
2023-09-01,142206,14.2206
2023-08-01,142821,14.2821
2023-07-01,145419,14.5419
2023-06-01,141464,14.1464
2023-05-01,141064,14.1064
2023-04-01,141359,14.1359
2023-03-01,149124,14.9124
2023-02-01,149731,14.9731
2023-01-01,138878,13.8878
2022-12-01,135347,13.5347
2022-11-01,166908,16.6908
2022-10-01,132155,13.2155
2022-09-01,113854,11.3854
2022-08-01,110705,11.0705
2022-07-01,97722.9,9.77229
2022-06-01,96902.9,9.69029
2022-05-01,94141.8,9.41418
2022-04-01,96624.5,9.66245
2022-03-01,94563.2,9.45632
2022-02-01,87343.7,8.73437
2022-01-01,83531.8,8.35318
2021-12-01,81248.6,8.12486
2021-11-01,81834.4,8.18344
2021-10-01,82616.9,8.26169
2021-09-01,82597.7,8.25977
2021-08-01,82736.1,8.27361
2021-07-01,81762.8,8.17628
2021-06-01,81205.1,8.12051
2021-05-01,81044.2,8.10442
2021-04-01,79683.6,7.96836
2021-03-01,79388.9,7.93889
2021-02-01,80130.5,8.01305
2021-01-01,79580.3,7.95803
2020-12-01,78602.7,7.86027
2020-11-01,76841.5,7.68415
2020-10-01,75341.0,7.53410
2020-09-01,74729.1,7.47291
2020-08-01,75587.6,7.55876
2020-07-01,72814.3,7.28143
2020-06-01,72038.8,7.20388
2020-05-01,70621.8,7.06218
2020-04-01,71483.2,7.14832
2020-03-01,68708.4,6.87084
2020-02-01,69604.6,6.96046
2020-01-01,73670.0,7.36700
2019-12-01,74516.5,7.45165
2019-11-01,71205.9,7.12059
2019-10-01,68764.7,6.87647
2019-09-01,67557.7,6.75577
2019-08-01,65845.2,6.58452
2019-07-01,67058.3,6.70583
2019-06-01,68202.9,6.82029
2019-05-01,66648.1,6.66481
2019-04-01,67006.8,6.70068
2019-03-01,70910.7,7.09107
2019-02-01,67299.4,6.72994
2019-01-01,63136.7,6.31367

Period Average,103383,10.3383
Period Low,63136.7,6.31367
Period High,198262,19.8262
