Average monthly BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,GBP/GHC,GBP/GHS
2018-12-01,61856.3,6.18563
2018-11-01,62476.2,6.24762
2018-10-01,62946.5,6.29465
2018-09-01,62198.6,6.21986
2018-08-01,61338.0,6.13380
2018-07-01,62940.1,6.29401
2018-06-01,62769.1,6.27691
2018-05-01,61469.5,6.14695
2018-04-01,62357.2,6.23572
2018-03-01,61728.1,6.17281
2018-02-01,62417.6,6.24176
2018-01-01,62480.1,6.24801
2017-12-01,60273.3,6.02733
2017-11-01,59356.2,5.93562
2017-10-01,57807.0,5.78070
2017-09-01,58694.3,5.86943
2017-08-01,57033.3,5.70333
2017-07-01,56809.5,5.68095
2017-06-01,55742.6,5.57426
2017-05-01,55102.3,5.51023
2017-04-01,52996.9,5.29969
2017-03-01,55590.1,5.55901
2017-02-01,55287.6,5.52876
2017-01-01,52673.1,5.26731
2016-12-01,52737.5,5.27375
2016-11-01,50030.0,5.00300
2016-10-01,48945.0,4.89450
2016-09-01,51896.0,5.18960
2016-08-01,51503.1,5.15031
2016-07-01,51744.5,5.17445
2016-06-01,55178.8,5.51788
2016-05-01,55390.4,5.53904
2016-04-01,54495.9,5.44959
2016-03-01,54667.9,5.46679
2016-02-01,56455.8,5.64558
2016-01-01,56068.2,5.60682
2015-12-01,56891.6,5.68916
2015-11-01,57614.8,5.76148
2015-10-01,57798.0,5.77980
2015-09-01,59182.4,5.91824
2015-08-01,62209.2,6.21220
2015-07-01,56797.2,5.69666
2015-06-01,66381.3,6.63813
2015-05-01,60742.2,6.07422
2015-04-01,56896.1,5.68961
2015-03-01,54165.0,5.41650
2015-02-01,52093.1,5.20931
2015-01-01,49380.7,4.90308
2014-12-01,51606.6,4.97782
2014-11-01,52096.8,5.05156
2014-10-01,53066.1,5.30661
2014-09-01,58179.1,5.81791
2014-08-01,61017.8,5.98770
2014-07-01,57648.6,5.68167
2014-06-01,52461.9,5.23106
2014-05-01,48753.9,4.87539
2014-04-01,46059.6,4.60596
2014-03-01,42830.7,4.28307
2014-02-01,40982.1,4.08715
2014-01-01,39068.3,3.90683

Period Average,55956.3,5.58578
Period Low,39068.3,3.90683
Period High,66381.3,6.63813
