Average monthly BID rates @ +/- 0.0%,,,,,,,,
OANDA Exchange Rates,,,,,,,,
https://fxds-hcc.oanda.com,,,,,,,,
,,,,,,,,
,,,,,,,,
Period Start Date,GBP/GHC,GBP/NGN,GBP/CNY,GBP/KES,GBP/CDF,GBP/GMD,GBP/INR,GBP/PKR
01/12/2019,74516.5,472.52,9.18586,131.482,2170.57,66.8015,93.0643,202.245
01/11/2019,71205.9,464.311,9.04035,130.428,2119.09,65.4799,91.6952,199.688
01/10/2019,68764.7,455.259,8.97495,129.874,2077.54,63.7591,89.4694,196.924
01/09/2019,67557.7,443.215,8.78574,126.82,2031.93,61.8288,87.9195,193.008
01/08/2019,65845.2,438.495,8.57377,123.849,1994.93,60.3981,86.3246,193.077
01/07/2019,67058.3,446.549,8.58173,127.298,2046.74,61.7904,85.5841,198.536
01/06/2019,68202.9,452.578,8.74231,127.273,2078.5,62.4936,87.8812,194.989
01/05/2019,66648.1,461.13,8.80789,128.431,2080.47,63.4705,89.6492,186.95
01/04/2019,67006.8,466.701,8.74371,130.672,2108.49,64.2202,90.4303,183.709
01/03/2019,70910.7,472.38,8.83448,131.151,2127.22,64.9604,91.4774,183.344
01/02/2019,67299.4,468.22,8.75992,129.385,2065.53,64.0266,92.4499,180.251
01/01/2019,63136.7,466.834,8.75197,129.952,2037.09,63.4194,90.8369,178.968
,,,,,,,,
Period Average,68179.4,459.016,8.81522,128.885,2078.18,63.554,89.7318,190.974
Period Low,63136.7,438.495,8.57377,123.849,1994.93,60.3981,85.5841,178.968
Period High,74516.5,472.52,9.18586,131.482,2170.57,66.8015,93.0643,202.245
,,,,,,,,
,,,,,,,,
Period Start Date,GBP/GHC,GBP/NGN,GBP/CNY,GBP/KES,GBP/CDF,GBP/GMD,GBP/INR,GBP/PKR
01/12/2020,78602.7,509.668,8.78672,147.296,2619.66,69.2137,98.7889,214.734
01/11/2020,76841.5,501.459,8.71561,143.081,2570.71,68.0165,97.8162,210.018
01/10/2020,75341,494.627,8.72112,139.822,2532.88,66.8604,95.2404,210.841
01/09/2020,74729.1,494.668,8.82579,139.222,2519.37,66.7851,95.0848,214.504
01/08/2020,75587.6,503.631,9.0994,140.662,2546.85,67.7638,97.7071,219.861
01/07/2020,72814.3,488.85,8.87101,134.529,2416.45,65.2321,94.4712,210.849
