"Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Revolving_Bal_Per_Limit,Avg_Transaction_Value,Churn"
"45,3,39,5,1,3,12691.0,777,1.335,1144,42,1.625,0.061,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.061224489795918366,27.238095238095237,0"
"49,5,44,6,1,2,8256.0,864,1.541,1291,33,3.714,0.105,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.10465116279069768,39.121212121212125,0"
"51,3,36,4,1,0,3418.0,0,2.594,1887,20,2.333,0.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0,94.35,0"
"40,4,34,3,4,1,3313.0,2517,1.405,1171,20,2.333,0.76,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.7597343797162692,58.55,0"
"40,3,21,5,1,0,4716.0,0,2.175,816,28,2.5,0.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.0,29.142857142857142,0"
"44,2,36,3,1,2,4010.0,1247,1.376,1088,24,0.846,0.311,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.3109725685785536,45.333333333333336,0"
"51,4,46,6,1,3,34516.0,2264,1.975,1330,31,0.722,0.066,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,0.06559276857109746,42.903225806451616,0"
"32,0,27,2,2,2,29081.0,1396,2.204,1538,36,0.714,0.048,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0480038513118531,42.72222222222222,0"
"37,3,36,5,2,0,22352.0,2517,3.355,1350,24,1.182,0.113,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0.11260737294201861,56.25,0"
"48,2,36,6,3,3,11656.0,1677,1.524,1441,32,0.882,0.144,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.14387439945092656,45.03125,0"
"42,5,31,5,3,2,6748.0,1467,0.831,1201,42,0.68,0.217,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.21739774748073504,28.595238095238095,0"
"65,1,54,6,2,3,9095.0,1587,1.433,1314,26,1.364,0.174,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,0.17449147883452445,50.53846153846154,0"
"56,1,36,3,6,0,11751.0,0,3.397,1539,17,3.25,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,90.52941176470588,0"
"35,3,30,5,1,3,8547.0,1666,1.163,1311,33,2.0,0.195,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.19492219492219492,39.72727272727273,0"
"57,2,48,5,2,2,2436.0,680,1.19,1570,29,0.611,0.279,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.2791461412151067,54.13793103448276,0"
"44,4,37,5,1,2,4234.0,972,1.707,1348,27,1.7,0.23,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,0.2295701464336325,49.925925925925924,0"
"48,4,36,6,2,3,30367.0,2362,1.708,1671,27,0.929,0.078,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0.07778180261468041,61.888888888888886,0"
"41,3,34,4,4,1,13535.0,1291,0.653,1028,21,1.625,0.095,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.095382342076099,48.95238095238095,0"
"61,1,56,2,2,3,3193.0,2517,1.831,1336,30,1.143,0.788,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.7882868775446289,44.53333333333333,0"
"45,2,37,6,1,2,14470.0,1157,0.966,1207,21,0.909,0.08,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.07995853489979267,57.476190476190474,0"
"47,1,42,5,2,0,20979.0,1800,0.906,1178,27,0.929,0.086,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0858000858000858,43.629629629629626,0"
"62,0,49,2,3,3,1438.3,0,1.047,692,16,0.6,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,43.25,1"
"41,3,33,4,2,1,4470.0,680,1.608,931,18,1.571,0.152,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.15212527964205816,51.72222222222222,0"
"47,4,36,3,3,2,2492.0,1560,0.573,1126,23,0.353,0.626,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.6260032102728732,48.95652173913044,0"
